norm_time    , CharacterStatus, ECG   , HR   , RR   , Marker
  0.893030144, Walk           , -0.027,      ,      , 
  0.900720128, Walk           , -0.032,      ,      , 
  0.908420096, Walk           , -0.044,      ,      , 
  0.916120064, Walk           , -0.032,      ,      , 
  0.918      , Walk           ,       ,      ,      , 
  0.923820032, Walk           , -0.022,      ,      , 
  0.93152    , Walk           , -0.012,      ,      , 
  0.939219968, Walk           , 0.022 ,      ,      , 
  0.946910208, Walk           , 0.032 ,      ,      , 
  0.954610176, Walk           , -0.004,      ,      , 
  0.962310144, Walk           , -0.022,      ,      , 
  0.970010112, Walk           , 0.004 ,      ,      , 
  0.97771008 , Walk           , 0.002 ,      ,      , 
  0.985400064, Walk           , -0.039,      ,      , 
  0.993100032, Walk           , -0.047,      ,      , 
  1.0008     , Walk           , -0.014,      ,      , 
  1.002      , Walk           ,       ,      ,      , 
  1.008499968, Walk           , -0.024,      ,      , 
  1.016200192, Walk           , -0.059,      ,      , 
  1.02390016 , Walk           , -0.024,      ,      , 
  1.031590144, Walk           , 0.017 ,      ,      , 
  1.039290112, Walk           , 0.002 ,      ,      , 
  1.04699008 , Walk           , 0.002 ,      ,      , 
  1.054690048, Walk           , 0.012 ,      ,      , 
  1.062390016, Walk           , -0.027,      ,      , 
  1.07008    , Walk           , -0.047,      ,      , 
  1.077779968, Walk           , -0.014,      ,      , 
  1.085      , Walk           ,       ,      ,      , 
  1.085480192, Walk           , -0.002,      ,      , 
  1.09318016 , Walk           , -0.002,      ,      , 
  1.100880128, Walk           , 0.019 ,      ,      , 
  1.108580096, Walk           , 0.044 ,      ,      , 
  1.11627008 , Walk           , 0.044 ,      ,      , 
  1.123970048, Walk           , -0.002,  96.0, 632.0, 
  1.131670016, Walk           , -0.032,      ,      , 
  1.139369984, Walk           , 0.169 ,      ,      , 
  1.147069952, Walk           , 0.733 ,      ,      , 
  1.154770176, Walk           , 1.357 ,      ,      , 
  1.162470144, Walk           , 1.437 ,      ,      , 
  1.169      , Walk           ,       ,      ,      , 
  1.170160128, Walk           , 0.646 ,      ,      , 
  1.177860096, Walk           , -0.193,      ,      , 
  1.185560064, Walk           , -0.139,      ,      , 
  1.193260032, Walk           , 0.114 ,      ,      , 
  1.20096    , Walk           , -0.029,      ,      , 
  1.208659968, Walk           , -0.082,      ,      , 
  1.216360192, Walk           , 0.0   ,      ,      , 
