norm_time,Character_status,ecg,hr,rr,marker
1.331342654,Walk,0.002,,,
1.333,Walk,,,,
1.339038276,Walk,0.007,,,
1.346733898,Walk,0.009,,,
1.35442952,Walk,0.012,,,
1.362125142,Walk,0.012,,,
1.369820764,Walk,0.014,,,
1.377516386,Walk,0.021,,,
1.385212008,Walk,0.024,,,
1.39290763,Walk,0.021,,,
1.400603252,Walk,0.019,,,
1.408298874,Walk,0.024,,,
1.415994496,Walk,0.028,,,
1.416,Walk,,,,
1.423690118,Walk,0.028,,,
1.43138574,Walk,0.033,,,
1.439081362,Walk,0.04,,,
1.446776984,Walk,0.038,,,
1.454472606,Walk,0.038,,,
1.462168228,Walk,0.043,,,
1.46986385,Walk,0.045,,,
1.477559472,Walk,0.036,,,
1.485255094,Walk,0.028,,,
1.492950716,Walk,0.033,,,
1.499,Walk,,,,
1.500646338,Walk,0.052,,,
1.50834196,Walk,0.086,,,
1.516037582,Walk,0.105,,,
1.523733204,Walk,0.115,,,
1.531428826,Walk,0.127,,,
1.539124448,Walk,0.113,,,
1.54682007,Walk,0.079,,,
1.554515692,Walk,0.067,,,
1.562211314,Walk,0.067,,,
1.569906936,Walk,0.072,,,
1.577602558,Walk,0.079,,,
1.583,Walk,,,,
1.58529818,Walk,0.084,,,
1.592993802,Walk,0.091,,,
1.600689424,Walk,0.096,,,
1.608385046,Walk,0.093,,,
1.616080668,Walk,0.113,,,
1.62377629,Walk,0.259,,,
1.631471912,Walk,0.6990000000000001,,,
1.639167534,Walk,1.18,,,
1.646863156,Walk,0.839,,,
1.654558778,Walk,-0.307,,,
1.6622544,Walk,-0.771,,,
1.665,Walk,,,,
1.669950022,Walk,-0.252,,,
1.677645644,Walk,0.045,,,
1.68534129,Walk,-0.014,87.0,692.0,
1.69303733,Walk,0.072,,673.0,
1.70073337,Walk,0.161,,,
1.70842941,Walk,0.144,,,
1.71612545,Walk,0.163,,,
1.72382149,Walk,0.194,,,
1.73151753,Walk,0.202,,,
1.73921357,Walk,0.214,,,
1.74690961,Walk,0.233,,,
1.75,Walk,,,,
1.75460565,Walk,0.24,,,
1.76230169,Walk,0.238,,,
1.76999773,Walk,0.24,,,
1.77769377,Walk,0.257,,,
1.78538981,Walk,0.276,,,
1.79308585,Walk,0.29,,,
1.80078189,Walk,0.307,,,
1.80847793,Walk,0.317,,,
1.81617397,Walk,0.307,,,
1.82387001,Walk,0.307,,,
1.83156605,Walk,0.327,,,
1.833,Walk,,,,
1.83926209,Walk,0.319,,,
1.84695813,Walk,0.295,,,
1.85465417,Walk,0.281,,,
1.86235021,Walk,0.269,,,
1.87004625,Walk,0.242,,,
1.87774229,Walk,0.206,,,
1.88543833,Walk,0.18,,,
1.89313437,Walk,0.158,,,
1.90083041,Walk,0.125,,,
1.90852645,Walk,0.088,,,
1.916,Walk,,,,
1.91622249,Walk,0.062,,,
1.92391853,Walk,0.036,,,
1.93161457,Walk,0.014,,,
1.93931061,Walk,-0.007,,,
1.94700665,Walk,-0.016,,,
1.95470269,Walk,-0.016,,,
1.96239873,Walk,-0.009,,,
1.97009477,Walk,-0.002,,,
1.97779081,Walk,0.004,,,
1.98548685,Walk,0.009,,,
1.99318289,Walk,0.009,,,
2.0,Walk,,,,
2.00087893,Walk,0.007,,,
2.00857497,Walk,0.007,,,
2.01627101,Walk,0.004,,,
2.02396705,Walk,0.002,,,
2.03166309,Walk,0.009,,,
2.03935913,Walk,0.024,,,
2.04705517,Walk,0.019,,,
2.05475121,Walk,0.012,,,
2.06244725,Walk,0.016,,,
2.07014329,Walk,0.021,,,
2.07783933,Walk,0.016,,,
2.083,Walk,,,,
2.08553537,Walk,0.014,,,
2.09323141,Walk,0.019,,,
2.10092745,Walk,0.024,,,
2.10862349,Walk,0.019,,,
2.11631953,Walk,0.019,,,
2.12401557,Walk,0.024,,,
2.13171161,Walk,0.028,,,
2.13940765,Walk,0.026,,,
2.14710369,Walk,0.024,,,
2.15479973,Walk,0.028,,,
2.16249577,Walk,0.028,,,
2.166,Walk,,,,
2.17019181,Walk,0.021,,,
2.17788785,Walk,0.014,,,
2.18558389,Walk,0.016,,,
2.19327993,Walk,0.026,,,
2.20097597,Walk,0.048,,,
2.20867201,Walk,0.081,,,
2.21636805,Walk,0.105,,,
2.22406409,Walk,0.108,,,
2.23176013,Walk,0.103,,,
2.23945617,Walk,0.081,,,
2.247152238,Walk,0.05,,,
2.249,Walk,,,,
2.25484786,Walk,0.036,,,
2.262543482,Walk,0.045,,,
2.270239104,Walk,0.055,,,
2.277934726,Walk,0.055,,,
2.285630348,Walk,0.055,,,
2.29332597,Walk,0.05,,,
2.301021592,Walk,0.05,,,
2.308717214,Walk,0.062,,,
2.316412836,Walk,0.11,,,
2.324108458,Walk,0.336,,,
2.33180408,Walk,0.8290000000000001,,,
2.333,Walk,,,,
2.339499702,Walk,1.062,,,
2.347195324,Walk,0.312,,,
2.354890946,Walk,-0.687,,,
2.362586568,Walk,-0.642,,,
2.37028219,Walk,-0.101,,,
2.377977812,Walk,-0.009,,,
2.385673434,Walk,-0.026,,,
2.393369056,Walk,0.098,,,
2.401064678,Walk,0.137,,,
2.4087603,Walk,0.125,,,
2.416,Walk,,,,
2.416455922,Walk,0.161,,,
2.424151544,Walk,0.185,,,
2.431847166,Walk,0.187,,,
2.439542788,Walk,0.204,,,
2.44723841,Walk,0.216,,,
2.454934032,Walk,0.218,,,
2.462629654,Walk,0.226,,,
2.470325276,Walk,0.242,,,
2.478020898,Walk,0.254,,,
2.48571652,Walk,0.269,,,
2.493412142,Walk,0.278,,,
2.499,Walk,,,,
2.501107764,Walk,0.283,,,
2.508803386,Walk,0.295,,,
2.516499008,Walk,0.315,,,
2.52419463,Walk,0.317,,,
2.531890252,Walk,0.312,,,
2.539585874,Walk,0.307,,,
2.547281496,Walk,0.295,,,
2.554977118,Walk,0.276,,,
2.56267274,Walk,0.252,,,
2.570368362,Walk,0.23,,,
2.578063984,Walk,0.206,,,
2.583,Walk,,,,
2.585759606,Walk,0.177,,,
2.593455228,Walk,0.144,,,
2.60115085,Walk,0.11,,,
2.608846472,Walk,0.079,,,
2.616542094,Walk,0.048,,,
2.624237716,Walk,0.016,,,
2.631933338,Walk,-0.002,,,
2.63962896,Walk,-0.016,,,
2.647324582,Walk,-0.028,,,
2.655020204,Walk,-0.028,,,
2.662715826,Walk,-0.014,,,
2.666,Walk,,,,
2.670411448,Walk,-0.002,,,
2.67810707,Walk,0.0,,,
2.685802692,Walk,0.0,,,
2.693498314,Walk,0.007,,,
2.701193936,Walk,0.014,,,
2.708889558,Walk,0.014,,,
2.71658518,Walk,0.019,,,
2.724280802,Walk,0.026,,,
2.731976424,Walk,0.031,,,
2.739672046,Walk,0.024,,,
2.747367668,Walk,0.021,,,
2.749,Walk,,,,
2.75506329,Walk,0.028,,,
2.762758912,Walk,0.031,,,
2.770454534,Walk,0.031,,,
2.778150156,Walk,0.028,,,
2.785845778,Walk,0.028,,,
2.7935414,Walk,0.031,,,
2.801237022,Walk,0.031,,,
2.808932668,Walk,0.031,87.0,671.0,
2.81662829,Walk,0.038,,,
2.824323912,Walk,0.026,,,
2.832019534,Walk,0.0,,,
2.833,Walk,,,,
2.839715156,Walk,-0.002,,,
2.847410778,Walk,0.012,,,
2.8551064,Walk,0.014,,,
2.862802022,Walk,0.0,,,
2.870497644,Walk,0.0,,,
2.878193266,Walk,0.016,,,
2.885888888,Walk,0.031,,,
2.89358451,Walk,0.057,,,
2.901280132,Walk,0.091,,,
2.908975754,Walk,0.11,,,
2.916,Walk,,,,
2.916671376,Walk,0.113,,,
2.924366998,Walk,0.091,,,
2.93206262,Walk,0.06,,,
2.939758242,Walk,0.045,,,
2.947453864,Walk,0.05,,,
2.955149486,Walk,0.055,,,
2.962845108,Walk,0.057,,,
2.97054073,Walk,0.062,,,
2.978236352,Walk,0.072,,,
2.985931974,Walk,0.074,,,
2.993627596,Walk,0.069,,,
2.999,Walk,,,,
3.001323218,Walk,0.076,,,
3.00901884,Walk,0.187,,,
3.016714462,Walk,0.555,,,
3.024410084,Walk,1.034,,,
3.032105706,Walk,0.846,,,
3.039801328,Walk,-0.218,,,
3.04749695,Walk,-0.81,,,
3.055192572,Walk,-0.351,,,
3.062888194,Walk,0.012,,,
3.070583816,Walk,-0.036,,,
3.078279438,Walk,0.036,,,
3.082,Walk,,,,
3.08597506,Walk,0.144,,,
3.093670682,Walk,0.132,,,
3.101366304,Walk,0.137,,,
3.109061926,Walk,0.177,,,
3.116757548,Walk,0.187,,,
3.12445317,Walk,0.194,,,
3.132148792,Walk,0.216,,,
3.139844414,Walk,0.226,,,
3.147540036,Walk,0.228,,,
3.155235658,Walk,0.235,,,
3.16293128,Walk,0.25,,,
3.166,Walk,,,,
3.170626902,Walk,0.271,,,
3.178322524,Walk,0.29,,,
3.186018146,Walk,0.305,,,
3.193713768,Walk,0.315,,,
3.20140939,Walk,0.329,,,
3.209105012,Walk,0.343,,,
3.216800634,Walk,0.353,,,
3.224496256,Walk,0.346,,,
3.232191878,Walk,0.327,,,
3.2398875,Walk,0.303,,,
3.247583122,Walk,0.274,,,
3.248,Walk,,,,
