norm_time,Character_status,ecg,hr,rr,marker
1.331095172,Walk,0.014,,,
1.33878954,Walk,0.036,,,
1.346483908,Walk,0.039,,,
1.354178276,Walk,0.039,,,
1.361872644,Walk,0.036,,,
1.369567012,Walk,0.029,,,
1.37726138,Walk,0.046,,,
1.384955748,Walk,0.039,,,
1.392650116,Walk,0.022,,,
1.400344484,Walk,0.012,,,
1.408038852,Walk,-0.009,,,
1.415,Walk,,,,
1.41573322,Walk,0.0,,,
1.423427588,Walk,0.041,,,
1.431121956,Walk,0.088,,,
1.438816324,Walk,0.095,,,
1.446510692,Walk,0.056,,,
1.45420506,Walk,0.046,,668.0,
1.461899428,Walk,0.066,,,
1.469593796,Walk,0.066,,,
1.477288164,Walk,0.066,,,
1.484982532,Walk,0.068,,,
1.4926769,Walk,0.078,,,
1.498,Walk,,,,
1.500371268,Walk,0.08,,,
1.508065636,Walk,0.056,,,
1.515760004,Walk,0.002,,,
1.523454372,Walk,-0.1,,,
1.53114874,Walk,0.0,,,
1.538843108,Walk,0.648,,,
1.546537476,Walk,1.572,,,
1.554231844,Walk,1.787,,,
1.561926212,Walk,0.809,,,
1.56962058,Walk,-0.136,,,
1.577314948,Walk,-0.083,,,
1.582,Walk,,,,
1.585009316,Walk,0.11,,,
1.592703684,Walk,-0.058,,,
1.600398052,Walk,-0.105,,,
1.60809242,Walk,-0.014,,,
1.615786788,Walk,-0.019,,,
1.623481156,Walk,-0.046,,,
1.631175524,Walk,-0.014,,,
1.638869892,Walk,0.014,,,
1.64656426,Walk,-0.002,,,
1.654258628,Walk,-0.004,,,
1.661952996,Walk,0.007,,,
1.665,Walk,,,,
1.669647364,Walk,0.009,,,
1.677341732,Walk,0.024,,,
1.685036112,Walk,0.029,,,
1.692730271,Walk,0.039,,,
1.70042443,Walk,0.063,,,
1.708118589,Walk,0.073,,,
1.715812748,Walk,0.083,,,
1.723506907,Walk,0.088,,,
1.731201066,Walk,0.1,,,
1.738895225,Walk,0.117,,,
1.746589384,Walk,0.11,,,
1.748,Walk,,,,
1.754283543,Walk,0.117,,,
1.761977702,Walk,0.127,,,
1.769671861,Walk,0.122,,,
1.77736602,Walk,0.117,,,
1.785060179,Walk,0.092,,,
1.792754338,Walk,0.07,,,
1.800448497,Walk,0.051,,,
1.808142656,Walk,0.017,,,
1.815836815,Walk,0.012,,,
1.823530974,Walk,0.002,,,
1.831225133,Walk,-0.022,,,
1.832,Walk,,,,
1.838919292,Walk,-0.022,,,
1.846613451,Walk,-0.024,,,
1.85430761,Walk,-0.024,,,
1.862001769,Walk,-0.019,,,
1.869695928,Walk,-0.014,,,
1.877390087,Walk,0.0,,,
1.885084246,Walk,0.0,,,
1.892778405,Walk,0.002,,,
1.900472564,Walk,0.004,,,
1.908166723,Walk,0.002,,,
1.914,Walk,,,,
1.915860882,Walk,0.019,,,
1.923555041,Walk,0.019,,,
1.9312492,Walk,0.019,,,
1.938943359,Walk,0.036,,,
1.946637518,Walk,0.036,,,
1.954331677,Walk,0.039,,,
1.962025836,Walk,0.039,,,
1.969719995,Walk,0.031,,,
1.977414154,Walk,0.046,,,
1.985108313,Walk,0.046,,,
1.992802472,Walk,0.041,,,
1.998,Walk,,,,
2.000496631,Walk,0.053,,,
2.00819079,Walk,0.051,,,
2.015884949,Walk,0.046,,,
2.023579108,Walk,0.039,,,
2.031273267,Walk,0.034,,,
2.038967426,Walk,0.036,,,
2.046661585,Walk,0.019,,,
2.054355744,Walk,0.029,,,
2.062049903,Walk,0.063,,,
2.069744062,Walk,0.102,,,
2.077438221,Walk,0.112,,,
2.081,Walk,,,,
2.08513238,Walk,0.075,,,
2.092826539,Walk,0.068,,,
2.100520698,Walk,0.09,,,
2.108214857,Walk,0.085,,,
2.115909016,Walk,0.088,,665.0,
2.123603175,Walk,0.092,,,
2.131297334,Walk,0.095,,,
2.138991493,Walk,0.102,,,
2.146685652,Walk,0.075,,,
2.154379811,Walk,0.0,,,
2.16207397,Walk,-0.134,,,
2.165,Walk,,,,
2.169768129,Walk,-0.048,,,
2.177462288,Walk,0.638,,,
2.185156447,Walk,1.65,,,
2.192850606,Walk,1.931,,,
2.200544765,Walk,0.946,,,
2.208238924,Walk,-0.102,,,
2.215933083,Walk,-0.119,,,
2.223627242,Walk,0.092,,,
2.231321401,Walk,-0.073,,,
2.23901556,Walk,-0.129,,,
2.24670973,Walk,-0.041,96.0,,
2.248,Walk,,,,
2.254403889,Walk,-0.046,,,
2.262098048,Walk,-0.066,,,
2.269792207,Walk,-0.029,,,
2.277486366,Walk,-0.007,,,
2.285180525,Walk,-0.026,,,
2.292874684,Walk,-0.019,,,
2.300568843,Walk,0.007,,,
2.308263002,Walk,0.004,,,
2.315957161,Walk,0.014,,,
2.32365132,Walk,0.026,,,
2.331,Walk,,,,
2.331345479,Walk,0.034,,,
2.339039638,Walk,0.046,,,
2.346733797,Walk,0.039,,,
2.354427956,Walk,0.048,,,
2.362122115,Walk,0.068,,,
2.369816274,Walk,0.075,,,
2.377510433,Walk,0.085,,,
2.385204592,Walk,0.078,,,
2.392898751,Walk,0.075,,,
2.40059291,Walk,0.088,,,
2.408287069,Walk,0.092,,,
2.415,Walk,,,,
2.415981228,Walk,0.102,,,
2.423675387,Walk,0.09,,,
2.431369546,Walk,0.051,,,
2.439063705,Walk,0.022,,,
2.446757864,Walk,-0.002,,,
2.454452023,Walk,-0.009,,,
2.462146182,Walk,-0.022,,,
2.469840341,Walk,-0.036,,,
2.4775345,Walk,-0.024,,,
2.485228659,Walk,-0.024,,,
2.492922818,Walk,-0.022,,,
2.498,Walk,,,,
2.500616977,Walk,-0.009,,,
2.508311136,Walk,-0.009,,,
2.516005295,Walk,0.0,,,
2.523699454,Walk,0.0,,,
2.531393613,Walk,0.002,,,
2.539087772,Walk,0.024,,,
2.546781931,Walk,0.022,,,
2.55447609,Walk,0.024,,,
2.562170249,Walk,0.029,,,
2.569864408,Walk,0.029,,,
2.577558567,Walk,0.044,,,
2.581,Walk,,,,
2.585252726,Walk,0.039,,,
2.592946885,Walk,0.039,,,
2.600641044,Walk,0.051,,,
2.608335203,Walk,0.048,,,
2.616029362,Walk,0.053,,,
2.623723521,Walk,0.048,,,
2.63141768,Walk,0.048,,,
2.639111839,Walk,0.051,,,
2.646805998,Walk,0.039,,,
2.654500157,Walk,0.034,,,
2.662194316,Walk,0.024,,,
2.665,Walk,,,,
2.669888475,Walk,0.019,,,
2.677582634,Walk,0.034,,,
2.685276793,Walk,0.031,,,
2.692970952,Walk,0.039,,,
2.700665111,Walk,0.046,,,
2.70835927,Walk,0.024,,,
2.716053429,Walk,0.022,,,
2.723747588,Walk,0.019,,,
2.731441747,Walk,0.009,,,
2.739135906,Walk,0.026,,625.0,
2.746830065,Walk,0.063,,,
2.747,Walk,,,,
2.754524224,Walk,0.107,,,
2.762218383,Walk,0.1,,,
2.769912542,Walk,0.061,,,
2.777606701,Walk,0.066,,,
2.78530086,Walk,0.078,,,
2.792995019,Walk,0.08,,,
2.800689178,Walk,0.083,,,
2.808383346,Walk,0.08,,,
2.816077714,Walk,0.092,,,
2.823772082,Walk,0.09,,,
2.83146645,Walk,0.068,,,
2.832,Walk,,,,
2.839160818,Walk,-0.007,,,
2.846855186,Walk,-0.132,,,
2.854549554,Walk,0.066,,,
2.862243922,Walk,0.914,,,
2.86993829,Walk,1.924,,,
2.877632658,Walk,1.98,,,
2.885327026,Walk,0.846,,,
2.893021394,Walk,-0.134,,,
2.900715762,Walk,-0.129,,,
2.90841013,Walk,0.017,,,
2.914,Walk,,,,
2.916104498,Walk,-0.154,,,
2.923798866,Walk,-0.198,,,
2.931493234,Walk,-0.105,,,
2.939187602,Walk,-0.112,,,
2.94688197,Walk,-0.134,,,
2.954576338,Walk,-0.083,,,
2.962270706,Walk,-0.058,,,
2.969965074,Walk,-0.068,,,
2.977659442,Walk,-0.048,,,
2.98535381,Walk,-0.041,,,
2.993048178,Walk,-0.034,,,
2.999,Walk,,,,
3.000742546,Walk,-0.014,,,
3.008436914,Walk,-0.009,,,
3.016131282,Walk,0.007,,,
3.02382565,Walk,0.017,,,
3.031520018,Walk,0.019,,,
3.039214386,Walk,0.031,,,
3.046908754,Walk,0.041,,,
3.054603122,Walk,0.061,,,
3.06229749,Walk,0.068,,,
3.069991858,Walk,0.056,,,
3.077686226,Walk,0.058,,,
3.081,Walk,,,,
3.085380594,Walk,0.058,,,
3.093074962,Walk,0.063,,,
3.10076933,Walk,0.078,,,
3.108463698,Walk,0.07,,,
3.116158066,Walk,0.058,,,
3.123852434,Walk,0.024,,,
3.131546802,Walk,-0.004,,,
3.13924117,Walk,-0.007,,,
3.146935538,Walk,-0.012,,,
3.154629906,Walk,-0.017,,,
3.162324274,Walk,-0.031,,,
3.164,Walk,,,,
3.170018642,Walk,-0.039,,,
3.17771301,Walk,-0.014,,,
3.185407378,Walk,-0.012,,,
3.193101746,Walk,-0.012,,,
3.200796114,Walk,0.002,,,
3.208490482,Walk,0.002,,,
3.21618485,Walk,0.007,,,
3.223879218,Walk,0.009,,,
3.231573586,Walk,0.019,,,
3.239267954,Walk,0.034,,,
3.246962322,Walk,0.026,,,
3.248,Walk,,,,
3.25465669,Walk,0.031,,,
3.262351058,Walk,0.039,,,
3.270045426,Walk,0.036,,,
3.277739794,Walk,0.046,,,
3.285434162,Walk,0.044,,,
3.29312853,Walk,0.051,,,
3.300822898,Walk,0.056,,,
3.308517266,Walk,0.048,,,
3.316211634,Walk,0.061,,,
3.323906002,Walk,0.066,,,
3.331,Walk,,,,
3.33160037,Walk,0.063,,,
3.339294738,Walk,0.073,,,
3.346989106,Walk,0.068,,,
3.354683474,Walk,0.073,,610.0,
3.362377842,Walk,0.08,,,
3.370072222,Walk,0.073,94.0,,
3.37776659,Walk,0.078,,,
3.385460958,Walk,0.075,,,
3.393155326,Walk,0.08,,,
3.400849694,Walk,0.075,,,
