Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time,Source_File
1715152458202,827.8625,Cow_Girl,-0.6686468,-1.07941,0.1132604,Press,Question_3,1.0,-0.2513509,0.3961143,0.1273976,-0.4844704,-0.06209874,-0.09319725,-0.06934053,0.5307044,0.1720831,LetfHandToBody,23.992,24.0,,,0.0203880191374645,0.0929957513479455,0.002748166264738,0.1161319367501481,0.1625189998199766,0.1755591072361801,0.8007767195687183,-2.37520147130314,24.0,0001_Woman
1715152464713,834.3749,Cow_Girl,-0.6637073,-1.07941,0.125425,Press,Question_4,2.0,-0.5384426,-0.08631933,0.3875438,-0.2389941,0.3889309,0.05507956,-0.08208533,0.5318893,0.1652635,RightHandToBody,30.503,30.5,,,0.0490100098969093,0.0799597860824019,0.0030878595184985,0.1320576554978099,0.3667781166381112,0.3711258519027863,0.6054914861314349,-2.5262314446611454,30.5,0001_Woman
1715152471503,841.1638,Cow_Girl,-0.6581955,-1.07941,0.1242004,Press,Question_5,2.0,-0.2698946,0.5321726,0.2149907,-0.2664151,0.5282142,0.05943117,-0.07236519,0.5331442,0.1577374,TouchFace,37.293,37.3,,,0.0405059162929867,0.0879869116746949,0.0013306056532088,0.1298234336208905,0.4978776836552131,0.3120077413086437,0.677742909894324,-2.4305672065348536,37.3,0001_Woman
1715158224804,449.4458,Cow_boy,-0.6669402,-1.079407,0.1161304,Press,Question_2,2.0,-0.2490149,0.5609496,0.2178818,-0.2387848,0.5520458,0.002194025,-0.104412,0.6098449,0.1021638,TouchFace,17.334,17.3,,,0.0068191833586502,0.0011359151732282,8.23521345966629e-05,0.0080374506664751,5.707748673719349,0.8484261542149949,0.1413277941432626,-6.7803166329252536,17.3,0002_Man
1715158224806,449.4458,Cow_boy,-0.6669402,-1.079407,0.1161304,Press,Question_2,2.0,-0.2490149,0.5609496,0.2178818,-0.2387848,0.5520458,0.002194025,-0.104412,0.6098449,0.1021638,TouchFace,17.336,17.3,,,0.0068191833586502,0.0011359151732282,8.23521345966629e-05,0.0080374506664751,5.707748673719349,0.8484261542149949,0.1413277941432626,-6.7803166329252536,17.3,0002_Man
1715158263818,488.4591,Cow_boy,-0.6546383,-1.079407,0.1195351,Press,Question_5,4.0,-0.2056856,0.166882,0.2862378,-0.255455,0.1175666,-0.1423697,-0.2272536,0.5944111,0.1297264,TouchBody,56.348,56.3,,,0.0587739073414577,0.0175537131727904,0.0007816427276118,0.07710926324186,4.654803278411616,0.7622159111689111,0.2276472687559163,-4.042489774652302,56.3,0002_Man
1715158267967,492.6085,Cow_boy,-0.6476121,-1.079407,0.1275373,Press,Question_6,5.0,-0.5201054,-0.1171457,0.3956924,-0.1897044,0.2193465,-0.08525362,-0.2373149,0.5948793,0.117652,RightHandToBody,60.497,60.5,,,0.0508427604294643,0.0166205256580677,0.0012512603315431,0.0687145464190752,4.407008571606909,0.7399126251868899,0.2418778340862896,-4.097116862012408,60.5,0002_Man
1715158278522,503.1628,Cow_boy,-0.6468196,-1.079407,0.1206647,Press,Question_7,3.0,-0.2023721,0.4186954,0.1643015,-0.4337149,-0.06002128,-0.1289486,-0.06448531,0.6098925,0.1215225,LetfHandToBody,71.052,71.1,,,0.059701563320483,0.0288765563192023,0.0007655834944308,0.0893437031341161,2.901083980234476,0.6682235146540035,0.3232075155409102,-3.544725213092138,71.1,0002_Man
1715158410641,634.9877,Robot Kyle,-0.6788855,-1.079392,0.1213985,Press,Question_2,4.0,-0.4894958,-0.09051937,0.4023052,-0.2175174,0.5394657,0.02400408,-0.1047307,0.6146902,0.1532001,RightHandToFace,16.345,16.3,,,0.0106977630985015,0.0012302406736164,0.0001331642262724,0.0120611679983904,7.550104137106452,0.8869591319786918,0.1020001274984821,-6.7005454591317495,16.3,0002_Robot
1715158410643,634.9877,Robot Kyle,-0.6788855,-1.079392,0.1213985,Press,Question_2,4.0,-0.4894958,-0.09051937,0.4023052,-0.2175174,0.5394657,0.02400408,-0.1047307,0.6146902,0.1532001,RightHandToFace,16.347,16.3,,,0.0106977630985015,0.0012302406736164,0.0001331642262724,0.0120611679983904,7.550104137106452,0.8869591319786918,0.1020001274984821,-6.7005454591317495,16.3,0002_Robot
