Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715827970032,1917.915,Cow_Girl,-6.000122,-1.0,0.09987031,Idle,,,-6.051861,-0.0853312,0.3392208,-5.95672,-0.0814476,-0.1125489,-0.1779796,0.7011644,0.1553741,,0.0
1715827970116,1917.999,Cow_Girl,-5.916863,-1.00125,0.09987234,Idle,,,-5.950727,-0.08188498,0.351299,-5.870028,-0.07422829,-0.1246013,-0.1786338,0.7009064,0.1545992,,0.084
1715827970200,1918.083,Cow_Girl,-5.832676,-1.002513,0.09987437,Idle,,,-5.907934,-0.08466101,0.3525863,-5.715975,-0.03913981,-0.1520966,-0.1787588,0.7003977,0.1520985,,0.168
1715827970283,1918.166,Cow_Girl,-5.749149,-1.003767,0.09987638,Idle,,,-5.90789,-0.1063507,0.3296924,-5.528015,0.01356149,-0.1737869,-0.1786797,0.6997101,0.1479744,,0.251
1715827970368,1918.248,Cow_Girl,-5.667071,-1.004999,0.09987838,Idle,,,-5.823456,-0.1317883,0.3243286,-5.418613,0.02224398,-0.1589907,-0.1786478,0.6993824,0.1422865,,0.336
1715827970451,1918.332,Cow_Girl,-5.583788,-1.006249,0.09988037,Idle,,,-5.678284,-0.1266134,0.3643194,-5.401968,0.0009771585,-0.1329107,-0.1786698,0.6992873,0.1356964,,0.419
1715827970534,1918.416,Cow_Girl,-5.499399,-1.007516,0.09988246,Idle,,,-5.528916,-0.1046462,0.4270377,-5.42947,-0.03861415,-0.08893099,-0.1786779,0.6998929,0.1290056,,0.502
1715827970617,1918.5,Cow_Girl,-5.415057,-1.008782,0.09988449,Idle,,,-5.36002,-0.05179322,0.4608634,-5.458661,-0.06796086,-0.06226393,-0.1793393,0.699967,0.1228381,,0.585
1715827970702,1918.583,Cow_Girl,-5.331927,-1.010029,0.09988651,Idle,,,-5.189905,0.01101387,0.4558783,-5.474154,-0.0768522,-0.05187609,-0.1806041,0.6995211,0.1173367,,0.67
1715827970784,1918.667,Cow_Girl,-5.24885,-1.011276,0.09988854,Idle,,,-5.032841,0.04720902,0.4576837,-5.464365,-0.08754706,-0.02475052,-0.1818387,0.6988286,0.1124394,,0.752
1715827970868,1918.75,Cow_Girl,-5.1658,-1.012523,0.09989057,Idle,,,-4.917605,0.04460561,0.4731792,-5.396434,-0.1020243,-0.005851232,-0.1826844,0.6988649,0.1081832,,0.836
