Avatar,id,Animation,Rating
robot,27,RightHandToBody,4
robot,28,RightHandToBody,3
robot,29,RightHandToBody,3
robot,30,RightHandToBody,1
robot,31,RightHandToBody,2
woman,1,RightHandToBody,4
woman,2,RightHandToBody,2
woman,3,RightHandToBody,4
woman,4,RightHandToBody,3
woman,5,RightHandToBody,2
woman,6,RightHandToBody,2
woman,7,RightHandToBody,5
woman,8,RightHandToBody,2
woman,9,RightHandToBody,1
woman,10,RightHandToBody,2
woman,11,RightHandToBody,2
woman,12,RightHandToBody,2
woman,13,RightHandToBody,2
woman,14,RightHandToBody,2
woman,15,RightHandToBody,4
woman,16,RightHandToBody,3
woman,17,RightHandToBody,1
woman,18,RightHandToBody,3
woman,19,RightHandToBody,2
woman,20,RightHandToBody,1
woman,21,RightHandToBody,5
woman,22,RightHandToBody,3
woman,23,RightHandToBody,2
woman,24,RightHandToBody,3
woman,25,RightHandToBody,1
woman,26,RightHandToBody,1
woman,27,RightHandToBody,2
woman,28,RightHandToBody,2
woman,29,RightHandToBody,2
woman,30,RightHandToBody,1
woman,31,RightHandToBody,2
man,1,RightHandToFace,4
man,2,RightHandToFace,4
man,3,RightHandToFace,4
man,4,RightHandToFace,3
man,5,RightHandToFace,3
man,6,RightHandToFace,3
man,7,RightHandToFace,1
man,8,RightHandToFace,5
man,9,RightHandToFace,1
man,10,RightHandToFace,2
man,11,RightHandToFace,2
man,12,RightHandToFace,2
man,13,RightHandToFace,3
man,14,RightHandToFace,3
man,15,RightHandToFace,2
man,16,RightHandToFace,3
man,17,RightHandToFace,1
man,18,RightHandToFace,4
man,19,RightHandToFace,2
man,20,RightHandToFace,1
man,21,RightHandToFace,5
man,22,RightHandToFace,3
man,23,RightHandToFace,3
man,24,RightHandToFace,2
man,25,RightHandToFace,4
man,26,RightHandToFace,3
man,27,RightHandToFace,3
man,28,RightHandToFace,5
man,29,RightHandToFace,3
man,30,RightHandToFace,1
man,31,RightHandToFace,3
robot,1,RightHandToFace,4
robot,2,RightHandToFace,1
robot,3,RightHandToFace,4
robot,4,RightHandToFace,3
robot,5,RightHandToFace,1
robot,6,RightHandToFace,4
robot,7,RightHandToFace,2
robot,8,RightHandToFace,4
robot,9,RightHandToFace,2
robot,10,RightHandToFace,2
robot,11,RightHandToFace,3
robot,12,RightHandToFace,2
robot,13,RightHandToFace,2
robot,14,RightHandToFace,4
robot,15,RightHandToFace,2
robot,16,RightHandToFace,4
