Form_Answer,Character_status,HRV_LFHF_mean,HRV_LFHF_std,sub_id,Avatar
3.0,Walk,0.47480880778756096,0.020541123126243826,1,Man
3.0,RightHandToBody,0.5828559327862712,0.1214233872149448,1,Man
4.0,TouchBody,0.6126138424250716,0.0872468616953219,1,Man
5.0,LetfHandToBody,0.8159024028147313,0.07281523094621502,1,Man
4.0,LeftHandToFace,0.7060330404095236,0.06700924136148242,1,Man
4.0,TouchFace,0.6447035127162862,0.03358202495111417,1,Man
4.0,RightHandToFace,0.7238828149954123,0.0563436140513024,1,Man
3.0,Walk,1.4977872148120153,0.06910859727673682,1,Robot
4.0,RightHandToFace,1.6099224451869334,0.24406238103866118,1,Robot
5.0,LeftHandToFace,2.064877571676211,0.2125269435267091,1,Robot
4.0,TouchFace,2.2137424775750465,0.2039898393384847,1,Robot
5.0,TouchBody,1.4325497920655619,0.16614765048642088,1,Robot
4.0,LetfHandToBody,1.0002213266406748,0.04893353533920999,1,Robot
5.0,RightHandToBody,0.9066577231365265,0.06538781610331602,1,Robot
3.0,Walk,1.1422562111586725,0.07985130816714822,1,Woman
4.0,RightHandToFace,0.8760254173097174,0.11645370197709977,1,Woman
4.0,LeftHandToFace,0.8149938777177951,0.2245882537981607,1,Woman
5.0,TouchFace,0.6276466005363349,0.12667362311453742,1,Woman
4.0,LetfHandToBody,0.860548452426514,0.07037326473765118,1,Woman
4.0,RightHandToBody,1.1251151691579453,0.1593865581154786,1,Woman
5.0,TouchBody,1.1747867792654638,0.3409734083896349,1,Woman
2.0,Walk,1.0051396590282764,0.14798441093272638,2,Man
4.0,TouchBody,1.2858317731342213,0.16668739725968906,2,Man
4.0,LetfHandToBody,1.5923687540016598,0.022596750474972775,2,Man
4.0,RightHandToBody,1.8453909413165626,0.10991777990457152,2,Man
4.0,RightHandToFace,1.6693858269054143,0.1796236251453296,2,Man
4.0,LeftHandToFace,1.1133294290955116,0.09088204659986368,2,Man
4.0,TouchFace,0.9681042230045852,0.018632626662552533,2,Man
4.0,Walk,1.8453590366135222,0.14868533857599292,2,Robot
1.0,LeftHandToFace,1.051497314753897,0.1608005114710594,2,Robot
1.0,RightHandToFace,1.2582555331286591,0.04413504198722692,2,Robot
1.0,TouchFace,1.4411435467828169,0.08803279948568891,2,Robot
1.0,RightHandToBody,0.9361255931612529,0.29092941125553545,2,Robot
1.0,TouchBody,0.38197724144619766,0.04231083617221382,2,Robot
1.0,LetfHandToBody,0.2759644945298128,0.04174279686908716,2,Robot
2.0,Walk,0.9780998131718449,0.10072609340791254,2,Woman
2.0,TouchBody,0.5050906570932656,0.15044332638586372,2,Woman
1.0,LetfHandToBody,0.18646940686049862,0.02472287858321449,2,Woman
2.0,RightHandToBody,0.34782470041981195,0.0777485463369393,2,Woman
2.0,TouchFace,0.48461464191850245,0.011473243989084435,2,Woman
1.0,RightHandToFace,0.6820332608913224,0.16572287817608042,2,Woman
1.0,LeftHandToFace,0.9598550417250102,0.09559788701700542,2,Woman
1.0,Walk,4.527939153194374,0.3485508392590211,3,Man
2.0,TouchFace,6.074169233228735,0.6737475157988806,3,Man
3.0,LeftHandToFace,8.565982692940956,0.7111196605866219,3,Man
4.0,RightHandToFace,8.014154139537032,1.8176179498551175,3,Man
4.0,TouchBody,4.65117495234816,0.07969974695249578,3,Man
5.0,RightHandToBody,4.037921670062691,0.3801842304875969,3,Man
3.0,LetfHandToBody,2.912674805275539,0.22243253809766766,3,Man
4.0,Walk,7.234109338696389,0.981048423496047,3,Robot
4.0,RightHandToFace,7.00778502256427,0.7442069121132442,3,Robot
5.0,TouchFace,5.920604113877921,1.2540362081645045,3,Robot
3.0,LeftHandToFace,3.4221677251622755,0.21343618111021478,3,Robot
4.0,RightHandToBody,3.0175824804279223,0.49856829439417955,3,Robot
1.0,LetfHandToBody,4.57859684344674,0.9678695331568715,3,Robot
3.0,TouchBody,8.116413345143435,0.39277697025639824,3,Robot
1.0,Walk,2.230149859857451,0.06841957237033455,3,Woman
1.0,RightHandToFace,2.0775100523604557,0.06810992460608166,3,Woman
3.0,LeftHandToFace,2.2481080134245586,0.27040754265586336,3,Woman
4.0,TouchFace,2.654913804171528,0.18845482935762053,3,Woman
2.0,LetfHandToBody,3.5940867095554023,0.6883017072862653,3,Woman
5.0,TouchBody,5.200545452443789,0.9820832303897192,3,Woman
4.0,RightHandToBody,8.931729432427954,0.6054807004973279,3,Woman
3.0,Walk,2.4382140821861813,0.39297450500280195,4,Man
3.0,LetfHandToBody,3.2292432991354634,0.27204809265877866,4,Man
3.0,RightHandToBody,3.766534253914436,0.14963676506276263,4,Man
3.0,TouchBody,2.58094315426093,1.006312855910775,4,Man
3.0,RightHandToFace,1.0308603475875182,0.14511583170862893,4,Man
3.0,TouchFace,1.692726607580203,0.3822662802507498,4,Man
3.0,LeftHandToFace,2.3446713516946582,0.38697754823180897,4,Man
3.0,Walk,2.8036051219976343,0.10521600030703095,4,Robot
3.0,TouchBody,4.614026823362604,0.5896762504671224,4,Robot
3.0,LetfHandToBody,5.584255854756414,0.3433027969136338,4,Robot
3.0,RightHandToBody,4.8956908853694285,0.17873194439949466,4,Robot
3.0,RightHandToFace,2.6018853930411376,0.7952944691630068,4,Robot
3.0,TouchFace,1.9258940042507982,0.2641875367570948,4,Robot
3.0,LeftHandToFace,1.6337616619880173,0.11297068945152354,4,Robot
3.0,Walk,0.40693980249192574,0.015772636159397124,4,Woman
3.0,RightHandToFace,0.44496695470137365,0.18741074530473473,4,Woman
3.0,TouchFace,2.0029232645177344,0.35835908975478986,4,Woman
