Avatar,id,Animation,Rating
man,1,LeftHandToFace,0.7060330404095236
man,2,LeftHandToFace,1.1133294290955116
man,3,LeftHandToFace,8.565982692940956
man,4,LeftHandToFace,2.3446713516946582
man,5,LeftHandToFace,1.872750917346692
man,6,LeftHandToFace,5.287365199712645
man,7,LeftHandToFace,2.1789210315221177
man,8,LeftHandToFace,1.5000707896327643
man,9,LeftHandToFace,1.8577979416204564
man,10,LeftHandToFace,1.1788848475807452
man,11,LeftHandToFace,5.908061613243177
man,12,LeftHandToFace,0.5011105240584763
man,13,LeftHandToFace,2.916133499980427
man,14,LeftHandToFace,0.2494524694631748
man,15,LeftHandToFace,1.5355623037448136
man,16,LeftHandToFace,3.549975620320425
man,17,LeftHandToFace,1.998441694865599
man,18,LeftHandToFace,2.1410849691955227
man,19,LeftHandToFace,2.1173959359615036
man,20,LeftHandToFace,1.4186494644411096
man,21,LeftHandToFace,1.4761145484980285
man,22,LeftHandToFace,0.6972601735028118
man,23,LeftHandToFace,0.5755667909594043
man,24,LeftHandToFace,3.847862150743812
man,25,LeftHandToFace,0.5312920660227791
man,26,LeftHandToFace,0.3012752163378091
man,27,LeftHandToFace,1.3290090819281537
man,28,LeftHandToFace,5.274270067913896
man,29,LeftHandToFace,1.2319454662632188
man,30,LeftHandToFace,0.8650561711644136
man,31,LeftHandToFace,7.317632144503142
robot,1,LeftHandToFace,2.064877571676211
robot,2,LeftHandToFace,1.051497314753897
robot,3,LeftHandToFace,3.4221677251622755
robot,4,LeftHandToFace,1.6337616619880173
robot,5,LeftHandToFace,1.488883217473188
robot,6,LeftHandToFace,2.3780860412924705
robot,7,LeftHandToFace,15.20419894318599
robot,8,LeftHandToFace,1.877934021895471
robot,9,LeftHandToFace,3.3051850168549888
robot,10,LeftHandToFace,1.364507728770469
robot,11,LeftHandToFace,2.2048999657797372
robot,12,LeftHandToFace,0.8778775966602557
robot,13,LeftHandToFace,2.3541400048034737
robot,14,LeftHandToFace,0.541940350012583
robot,15,LeftHandToFace,0.6384037947140572
robot,16,LeftHandToFace,5.736607482598117
robot,17,LeftHandToFace,1.078700265265097
robot,18,LeftHandToFace,3.0527353369685515
robot,19,LeftHandToFace,0.7770995336236367
robot,20,LeftHandToFace,4.606321184475539
robot,21,LeftHandToFace,3.1569705457159594
robot,22,LeftHandToFace,0.7025082056026654
robot,23,LeftHandToFace,0.5118454400344886
robot,24,LeftHandToFace,8.965646658188836
robot,25,LeftHandToFace,1.9771656315680184
robot,26,LeftHandToFace,0.6097159915844709
robot,27,LeftHandToFace,1.2502189836589692
robot,28,LeftHandToFace,1.1385945071816994
robot,29,LeftHandToFace,0.6135441570578203
robot,30,LeftHandToFace,1.694303287191318
robot,31,LeftHandToFace,3.744666539608746
woman,1,LeftHandToFace,0.8149938777177951
woman,2,LeftHandToFace,0.9598550417250102
woman,3,LeftHandToFace,2.2481080134245586
woman,4,LeftHandToFace,1.7817434513332857
woman,5,LeftHandToFace,1.4973183403980794
woman,6,LeftHandToFace,3.97139817187978
woman,7,LeftHandToFace,10.535825523941169
woman,8,LeftHandToFace,4.015552926761502
woman,9,LeftHandToFace,2.2436096367584164
woman,10,LeftHandToFace,0.865998416586288
woman,11,LeftHandToFace,1.631014694902062
woman,12,LeftHandToFace,3.222694168681037
woman,13,LeftHandToFace,1.3530664623309236
woman,14,LeftHandToFace,6.124857197755622
woman,15,LeftHandToFace,2.9130772293663667
woman,16,LeftHandToFace,2.8678888094899757
woman,17,LeftHandToFace,1.8045338023538051
woman,18,LeftHandToFace,1.885269238500087
woman,19,LeftHandToFace,1.3385180275542128
woman,20,LeftHandToFace,5.605044222017743
woman,21,LeftHandToFace,0.5333754856476641
woman,22,LeftHandToFace,1.0895014425303189
woman,23,LeftHandToFace,2.233921802241513
woman,24,LeftHandToFace,6.3221970074581115
woman,25,LeftHandToFace,1.1384209962657672
woman,26,LeftHandToFace,0.822782553183382
woman,27,LeftHandToFace,3.25393523757568
woman,28,LeftHandToFace,1.9070302915891575
woman,29,LeftHandToFace,0.4592304453259029
woman,30,LeftHandToFace,3.3141975134327213
woman,31,LeftHandToFace,2.2981096513793213
man,1,LetfHandToBody,0.8159024028147313
man,2,LetfHandToBody,1.5923687540016598
man,3,LetfHandToBody,2.912674805275539
man,4,LetfHandToBody,3.2292432991354634
man,5,LetfHandToBody,0.8755153281521846
man,6,LetfHandToBody,6.8019345168153
man,7,LetfHandToBody,9.400939810882557
man,8,LetfHandToBody,1.8335623090589717
man,9,LetfHandToBody,7.642637016547451
man,10,LetfHandToBody,0.738748435370052
man,11,LetfHandToBody,2.209167020424222
man,12,LetfHandToBody,0.8372873174111697
man,13,LetfHandToBody,0.7315294813034758
man,14,LetfHandToBody,1.0780651631629317
man,15,LetfHandToBody,0.7372613030671271
man,16,LetfHandToBody,5.111828753036328
man,17,LetfHandToBody,1.9490867721127376
man,18,LetfHandToBody,1.2474775639324245
man,19,LetfHandToBody,1.1301296900895863
