time,ecg,hr,rr,marker,norm_time
1716270352384985742,0.028,125.0,,,0.0
1716270352392680040,0.031,,,,0.007694298
1716270352400374338,0.031,,,,0.015388596
1716270352408068636,0.038,,,,0.023082894
1716270352415762934,0.043,,,,0.030777192
1716270352423457232,0.043,,,,0.03847149
1716270352431151530,0.055,,,,0.046165788
1716270352438845828,0.072,,,,0.053860086
1716270352446540126,0.074,,,,0.061554384
1716270352454234424,0.074,,,,0.069248682
1716270352461928722,0.067,,,,0.07694298
1716270352469623020,0.055,,,,0.084637278
1716270352477317318,0.045,,,,0.092331576
1716270352485011616,0.033,,,,0.100025874
1716270352492705914,0.028,,,,0.107720172
1716270352500400212,0.033,,,,0.11541447
1716270352508094510,0.04,,,,0.123108768
1716270352515788808,0.04,,488.0,,0.130803066
1716270352523483106,0.045,,,,0.138497364
1716270352531177404,0.057,,,,0.146191662
1716270352538871702,0.06,,,,0.15388596
1716270352546566000,0.055,,,,0.161580258
1716270352554260298,0.057,,,,0.169274556
1716270352561954596,0.062,,,,0.176968854
1716270352569648894,0.067,,,,0.184663152
1716270352577343192,0.062,,,,0.19235745
1716270352585037490,0.055,,,,0.200051748
1716270352592731788,0.052,,,,0.207746046
1716270352600426086,0.055,,,,0.215440344
1716270352608120384,0.05,,,,0.223134642
1716270352615814682,0.043,,,,0.23082894
1716270352623508980,0.04,,,,0.238523238
1716270352631203278,0.043,,,,0.246217536
1716270352638897576,0.036,,,,0.253911834
1716270352646591874,0.028,,,,0.261606132
1716270352654286172,0.038,,,,0.26930043
1716270352661980470,0.055,,,,0.276994728
1716270352669674768,0.069,,,,0.284689026
1716270352677369066,0.086,,,,0.292383324
1716270352685063364,0.098,,,,0.300077622
1716270352692757662,0.086,,,,0.30777192
1716270352700451960,0.069,,,,0.315466218
1716270352708146258,0.069,,,,0.323160516
1716270352715840556,0.072,,,,0.330854814
1716270352723534854,0.064,,,,0.338549112
1716270352731229152,0.021,,,,0.34624341
1716270352738923450,-0.016,,,,0.353937708
1716270352746617748,0.221,,,,0.361632006
1716270352754312046,0.899,,,,0.369326304
1716270352762006344,1.637,,,,0.377020602
1716270352769700642,1.628,,,,0.3847149
1716270352777394940,0.581,,,,0.392409198
1716270352785089238,-0.293,,,,0.400103496
1716270352792783536,-0.139,,,,0.407797794
1716270352800477834,0.076,,,,0.415492092
1716270352808172132,-0.108,,,,0.42318639
1716270352815866430,-0.129,,,,0.430880688
1716270352823560728,-0.021,,,,0.438574986
1716270352831255026,-0.045,,,,0.446269284
1716270352838949324,-0.069,,,,0.453963582
1716270352846643622,-0.024,,,,0.46165788
1716270352854337920,-0.009,,,,0.469352178
1716270352862032218,-0.014,,,,0.477046476
1716270352869726516,0.007,,,,0.484740774
1716270352877420814,0.024,,,,0.492435072
1716270352885115112,0.026,,,,0.50012937
1716270352892809410,0.026,,,,0.507823668
1716270352900503708,0.031,,,,0.515517966
1716270352908198006,0.045,,,,0.523212264
1716270352915892304,0.052,,,,0.530906562
1716270352923586602,0.05,,,,0.53860086
1716270352931280900,0.06,,,,0.546295158
1716270352938975198,0.076,,,,0.553989456
1716270352946669532,0.086,,,,0.56168379
1716270352954363830,0.091,,,,0.569378088
1716270352962058128,0.098,,,,0.577072386
1716270352969752426,0.096,,,,0.584766684
1716270352977446724,0.084,,,,0.592460982
1716270352985141022,0.072,,,,0.60015528
1716270352992835320,0.055,,,,0.607849578
1716270353000529618,0.031,,489.0,,0.615543876
1716270353008223916,0.024,,,,0.623238174
1716270353015918214,0.043,,,,0.630932472
1716270353023612512,0.052,,,,0.63862677
1716270353031306810,0.048,,,,0.646321068
1716270353039001108,0.05,,,,0.654015366
1716270353046695406,0.06,,,,0.661709664
1716270353054389704,0.062,,,,0.669403962
