time,ecg,hr,rr,marker,norm_time
1715832326036479938,-0.625,92.0,,,0.0
1715832326044174306,-0.622,,,,0.007694368
1715832326051868674,-0.608,,,,0.015388736
1715832326059563042,-0.601,,,,0.023083104
1715832326067257410,-0.601,,,,0.030777472
1715832326074951778,-0.593,,,,0.03847184
1715832326082646146,-0.589,,,,0.046166208
1715832326090340514,-0.577,,,,0.053860576
1715832326098034882,-0.579,,,,0.061554944
1715832326105729250,-0.577,,,,0.069249312
1715832326113423618,-0.55,,,,0.07694368
1715832326121117986,-0.541,,,,0.084638048
1715832326128812354,-0.543,,,,0.092332416
1715832326136506722,-0.538,,,,0.100026784
1715832326144201090,-0.538,,,,0.107721152
1715832326151895458,-0.533,,,,0.11541552
1715832326159589826,-0.529,,,,0.123109888
1715832326167284194,-0.524,,,,0.130804256
1715832326174978562,-0.514,,,,0.138498624
1715832326182672930,-0.512,,,,0.146192992
1715832326190367298,-0.505,,,,0.15388736
1715832326198061666,-0.497,,,,0.161581728
1715832326205756034,-0.492,,,,0.169276096
1715832326213450402,-0.483,,,,0.176970464
1715832326221144770,-0.49,,,,0.184664832
1715832326228839138,-0.488,,,,0.1923592
1715832326236533506,-0.468,,,,0.200053568
1715832326244227874,-0.464,,,,0.207747936
1715832326251922242,-0.459,,658.0,,0.215442304
1715832326259616610,-0.461,,,,0.223136672
1715832326267310978,-0.456,,,,0.23083104
1715832326275005346,-0.444,,,,0.238525408
1715832326282699714,-0.449,,,,0.246219776
1715832326290394082,-0.442,,,,0.253914144
1715832326298088450,-0.428,,,,0.261608512
1715832326305782818,-0.432,,,,0.26930288
1715832326313477186,-0.435,,,,0.276997248
1715832326321171554,-0.44,,,,0.284691616
1715832326328865922,-0.437,,,,0.292385984
1715832326336560290,-0.43,,,,0.300080352
1715832326344254658,-0.43,,,,0.30777472
1715832326351949026,-0.418,,,,0.315469088
1715832326359643394,-0.413,,,,0.323163456
1715832326367337762,-0.416,,,,0.330857824
1715832326375032130,-0.413,,,,0.338552192
1715832326382726498,-0.408,,,,0.34624656
1715832326390420866,-0.346,,,,0.353940928
1715832326398115234,-0.194,,,,0.361635296
1715832326405809602,0.004,,,,0.369329664
1715832326413503970,0.024,,,,0.377024032
1715832326421198338,-0.317,,,,0.3847184
1715832326428892706,-0.593,,,,0.392412768
1715832326436587074,-0.476,,,,0.400107136
1715832326444281442,-0.367,,,,0.407801504
1715832326451975810,-0.435,,,,0.415495872
1715832326459670178,-0.432,,,,0.42319024
1715832326467364546,-0.382,,,,0.430884608
1715832326475058914,-0.382,,,,0.438578976
1715832326482753282,-0.387,,,,0.446273344
1715832326490447650,-0.36,,,,0.453967712
1715832326498142018,-0.353,,,,0.46166208
1715832326505836386,-0.353,,,,0.469356448
1715832326513530754,-0.331,,,,0.477050816
1715832326521225122,-0.331,,,,0.484745184
1715832326528919490,-0.336,,,,0.492439552
1715832326536613858,-0.319,,,,0.50013392
1715832326544308226,-0.312,,,,0.507828288
1715832326552002594,-0.3,,,,0.515522656
1715832326559696962,-0.293,,,,0.523217024
1715832326567391330,-0.29,,,,0.530911392
1715832326575085698,-0.281,,,,0.53860576
1715832326582780066,-0.278,,,,0.546300128
1715832326590474434,-0.266,,,,0.553994496
1715832326598168816,-0.257,92.0,,,0.561688878
1715832326605863602,-0.262,,,,0.569383664
1715832326613558388,-0.257,,,,0.57707845
1715832326621253174,-0.252,,,,0.584773236
1715832326628947960,-0.24,,,,0.592468022
1715832326636642746,-0.233,,,,0.600162808
1715832326644337532,-0.238,,,,0.607857594
1715832326652032318,-0.233,,,,0.61555238
1715832326659727104,-0.233,,,,0.623247166
1715832326667421890,-0.24,,,,0.630941952
1715832326675116676,-0.245,,,,0.638636738
1715832326682811462,-0.25,,,,0.646331524
1715832326690506248,-0.245,,,,0.65402631
1715832326698201034,-0.247,,,,0.661721096
1715832326705895820,-0.25,,,,0.669415882
1715832326713590606,-0.233,,,,0.677110668
1715832326721285392,-0.233,,,,0.684805454
1715832326728980178,-0.235,,,,0.69250024
1715832326736674964,-0.221,,,,0.700195026
1715832326744369750,-0.214,,,,0.707889812
1715832326752064536,-0.204,,,,0.715584598
1715832326759759322,-0.199,,,,0.723279384
1715832326767454108,-0.199,,,,0.73097417
1715832326775148894,-0.194,,,,0.738668956
1715832326782843680,-0.192,,,,0.746363742
1715832326790538466,-0.185,,,,0.754058528
1715832326798233252,-0.185,,,,0.761753314
1715832326805928038,-0.185,,,,0.7694481
1715832326813622824,-0.177,,,,0.777142886
1715832326821317610,-0.177,,,,0.784837672
1715832326829012396,-0.173,,,,0.792532458
1715832326836707182,-0.158,,,,0.800227244
1715832326844401968,-0.161,,,,0.80792203
1715832326852096754,-0.161,,,,0.815616816
1715832326859791540,-0.156,,,,0.823311602
1715832326867486326,-0.144,,,,0.831006388
1715832326875181112,-0.127,,,,0.838701174
1715832326882875898,-0.127,,,,0.84639596
1715832326890570684,-0.12,,,,0.854090746
1715832326898265470,-0.098,,649.0,,0.861785532
1715832326905960256,-0.086,,,,0.869480318
1715832326913655042,-0.072,,,,0.877175104
1715832326921349828,-0.06,,,,0.88486989
1715832326929044614,-0.062,,,,0.892564676
1715832326936739400,-0.086,,,,0.900259462
1715832326944434186,-0.101,,,,0.907954248
1715832326952128972,-0.079,,,,0.915649034
1715832326959823758,-0.076,,,,0.92334382
1715832326967518544,-0.096,,,,0.931038606
1715832326975213330,-0.091,,,,0.938733392
1715832326982908116,-0.079,,,,0.946428178
1715832326990602902,-0.072,,,,0.954122964
1715832326998297688,-0.067,,,,0.96181775
1715832327005992474,-0.038,,,,0.969512536
1715832327013687260,0.091,,,,0.977207322
1715832327021382046,0.293,,,,0.984902108
1715832327029076832,0.37,,,,0.992596894
1715832327036771618,0.101,,,,1.00029168
1715832327044466404,-0.221,,,,1.007986466
1715832327052161190,-0.163,,,,1.015681252
1715832327059855976,-0.038,,,,1.023376038
1715832327067550762,-0.098,,,,1.031070824
1715832327075245548,-0.101,,,,1.03876561
1715832327082940334,-0.043,,,,1.046460396
1715832327090635120,-0.048,,,,1.054155182
1715832327098329906,-0.06,,,,1.061849968
1715832327106024692,-0.036,,,,1.069544754
1715832327113719478,-0.021,,,,1.07723954
1715832327121414264,-0.036,,,,1.084934326
