Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1716270623942,792.7693,Cow_Girl,-6.000117,-1.0,0.09986983,Idle,,,-6.051724,-0.08532292,0.3391137,-5.956634,-0.0814926,-0.1125071,-0.09206528,0.6269307,0.07670276,,0.0
1716270624026,792.8524,Cow_Girl,-5.917087,-1.001246,0.09987185,Idle,,,-5.950872,-0.08192188,0.3511177,-5.870396,-0.07450628,-0.1242974,-0.09283845,0.6266445,0.0764775,,0.084
1716270624108,792.9371,Cow_Girl,-5.832435,-1.002517,0.09987391,Idle,,,-5.908749,-0.08481699,0.3524102,-5.714285,-0.03855568,-0.1524022,-0.09345753,0.6266062,0.07649077,,0.166
1716270624192,793.0198,Cow_Girl,-5.7497,-1.003759,0.0998759,Idle,,,-5.908139,-0.1062203,0.3298264,-5.52896,0.01331925,-0.1737088,-0.09386554,0.626453,0.07682488,,0.25
1716270624275,793.1028,Cow_Girl,-5.666719,-1.005004,0.09987787,Idle,,,-5.824595,-0.1314799,0.3239559,-5.41713,0.02272248,-0.159333,-0.09408207,0.6263258,0.07713687,,0.333
1716270624359,793.186,Cow_Girl,-5.583515,-1.006253,0.09987987,Idle,,,-5.680326,-0.1274711,0.3614357,-5.39816,0.001954079,-0.1345635,-0.09410254,0.6263093,0.07741798,,0.417
1716270624441,793.2682,Cow_Girl,-5.501316,-1.007487,0.09988187,Idle,,,-5.532211,-0.1052629,0.4262654,-5.429523,-0.03790629,-0.08935141,-0.09371952,0.6261027,0.07765488,,0.499
1716270624525,793.3519,Cow_Girl,-5.417621,-1.008743,0.09988389,Idle,,,-5.364766,-0.05365992,0.4604668,-5.458334,-0.06766307,-0.06260907,-0.0930684,0.6259758,0.07793815,,0.583
1716270624608,793.4366,Cow_Girl,-5.332994,-1.010013,0.09988592,Idle,,,-5.192301,0.01033294,0.4559811,-5.473964,-0.07658124,-0.05219903,-0.0921182,0.6260482,0.07831634,,0.666
1716270624692,793.5196,Cow_Girl,-5.249953,-1.011259,0.09988794,Idle,,,-5.036149,0.04632437,0.4569367,-5.463536,-0.08744359,-0.02624884,-0.09107146,0.6259707,0.07876934,,0.75
1716270624775,793.6032,Cow_Girl,-5.166381,-1.012514,0.09989003,Idle,,,-4.917881,0.04549205,0.4725027,-5.397801,-0.1017051,-0.005821608,-0.09024869,0.6257749,0.07952309,,0.833
1716270624858,793.6865,Cow_Girl,-5.083062,-1.013764,0.09989206,Idle,,,-4.851985,0.02139783,0.460801,-5.278174,-0.09767765,-0.04308792,-0.08998893,0.6258993,0.08060803,,0.916
1716270624942,793.7686,Cow_Girl,-5.001022,-1.014996,0.09989408,Idle,,,-4.827459,-0.02260607,0.4178289,-5.108268,-0.09303576,-0.1143059,-0.0899531,0.6253719,0.08164549,,1.0
1716270625025,793.8521,Cow_Girl,-4.917493,-1.016249,0.09989617,Idle,,,-4.851714,-0.05675691,0.3860731,-4.919011,-0.06324643,-0.1656367,-0.0897832,0.6246725,0.08205926,,1.083
1716270625107,793.936,Cow_Girl,-4.833584,-1.017509,0.0998982,Idle,,,-4.891485,-0.08586997,0.3638845,-4.708452,-0.009538412,-0.1800345,-0.08910526,0.6248035,0.08225849,,1.165
1716270625192,794.0201,Cow_Girl,-4.749476,-1.018771,0.09990034,Idle,,,-4.903587,-0.1135996,0.3359489,-4.528683,0.01612937,-0.179191,-0.0882978,0.6250982,0.08241507,,1.25
1716270625275,794.1028,Cow_Girl,-4.666788,-1.020012,0.09990225,Idle,,,-4.837168,-0.1379594,0.319803,-4.412321,0.01373589,-0.1694868,-0.0876953,0.6252196,0.08240306,,1.333
1716270625359,794.1862,Cow_Girl,-4.58345,-1.021263,0.09990428,Idle,,,-4.707083,-0.1489351,0.3384106,-4.364001,-0.003618717,-0.1486478,-0.08739998,0.6254113,0.08215074,,1.417
1716270625442,794.2682,Cow_Girl,-4.501361,-1.022495,0.0999063,Idle,,,-4.560609,-0.1318189,0.406555,-4.382192,-0.03725976,-0.1041498,-0.08753619,0.6255875,0.08179257,,1.5
1716270625526,794.3524,Cow_Girl,-4.41719,-1.023758,0.09990833,Idle,,,-4.398702,-0.09409946,0.4523455,-4.413437,-0.07511336,-0.07155516,-0.08794773,0.6256201,0.08153825,,1.584
1716270625607,794.4357,Cow_Girl,-4.333953,-1.025007,0.09991024,Idle,,,-4.228096,-0.02912176,0.4565298,-4.436713,-0.088893,-0.05871358,-0.08847155,0.6253724,0.08162548,,1.665
1716270625691,794.5195,Cow_Girl,-4.250102,-1.026266,0.09991238,Idle,,,-4.062647,0.01934898,0.4523977,-4.438126,-0.1003606,-0.03956964,-0.08886425,0.6251128,0.08161194,,1.749
1716270625775,794.6024,Cow_Girl,-4.167274,-1.027509,0.09991441,Idle,,,-3.927083,0.03631473,0.4635707,-4.398088,-0.1090566,-0.01223888,-0.0893227,0.6253439,0.08172406,,1.833
1716270625858,794.6859,Cow_Girl,-4.083723,-1.028763,0.09991655,Idle,,,-3.841983,0.0157187,0.4743524,-4.299866,-0.1185902,-0.0164937,-0.08967058,0.6252777,0.08199851,,1.916
1716270625941,794.7681,Cow_Girl,-4.001585,-1.029996,0.09991846,Idle,,,-3.80001,-0.01722455,0.4338787,-4.148624,-0.1080049,-0.08775916,-0.08961065,0.6251559,0.08224384,,1.999
1716270626025,794.8517,Cow_Girl,-3.917918,-1.031251,0.09992037,Idle,,,-3.801401,-0.06072038,0.3931962,-3.96675,-0.09876513,-0.1536938,-0.08905932,0.6250308,0.08234422,,2.083
1716270626108,794.9359,Cow_Girl,-3.833825,-1.032514,0.09992228,Idle,,,-3.844957,-0.08944756,0.3757049,-3.756998,-0.04264677,-0.1749479,-0.08775302,0.6246837,0.08220883,,2.166
1716270626191,795.0189,Cow_Girl,-3.750756,-1.03376,0.09992395,Idle,,,-3.871916,-0.1181689,0.3467251,-3.562233,-0.00625658,-0.1814057,-0.08531698,0.6247649,0.08152621,,2.249
1716270626275,795.1024,Cow_Girl,-3.667241,-1.035014,0.09992585,Idle,,,-3.844046,-0.1437531,0.321504,-3.419737,0.001726627,-0.1765396,-0.08263886,0.6255335,0.08077567,,2.333
1716270626358,795.1855,Cow_Girl,-3.584162,-1.036261,0.099928,Idle,,,-3.732421,-0.1647694,0.3264571,-3.341856,-0.01165152,-0.1567785,-0.08007628,0.6268494,0.08038355,,2.416
1716270626441,795.2679,Cow_Girl,-3.501744,-1.037498,0.09992991,Idle,,,-3.584293,-0.1537251,0.3791595,-3.339094,-0.03604078,-0.1237787,-0.0786328,0.628215,0.08061145,,2.499
1716270626525,795.3517,Cow_Girl,-3.417916,-1.038756,0.09993181,Idle,,,-3.43286,-0.1290538,0.435135,-3.36812,-0.07677567,-0.08383074,-0.07792149,0.6288517,0.08109417,,2.583
1716270626607,795.4361,Cow_Girl,-3.333573,-1.040022,0.09993372,Idle,,,-3.265301,-0.0719083,0.4620822,-3.394097,-0.1005436,-0.06056633,-0.07775323,0.6284871,0.08150737,,2.665
1716270626690,795.5193,Cow_Girl,-3.250431,-1.04127,0.09993563,Idle,,,-3.093636,-0.01214468,0.4545389,-3.40681,-0.1108292,-0.04811635,-0.07783526,0.628243,0.08178723,,2.748
1716270626774,795.6021,Cow_Girl,-3.167619,-1.042512,0.09993754,Idle,,,-2.943567,0.01904702,0.4602459,-3.389803,-0.1192935,-0.01942983,-0.07835676,0.628257,0.08208977,,2.832
1716270626857,795.686,Cow_Girl,-3.083762,-1.043771,0.09993944,Idle,,,-2.836641,0.0103029,0.4755186,-3.311789,-0.1344095,-0.005909108,-0.0789743,0.6280579,0.08231436,,2.915
1716270626941,795.7682,Cow_Girl,-3.001539,-1.045005,0.09994159,Idle,,,-2.778358,-0.01536417,0.4512607,-3.182347,-0.125574,-0.05973353,-0.079914,0.6278318,0.0821664,,2.999
1716270627024,795.8504,Cow_Girl,-2.919302,-1.046239,0.0999435,Idle,,,-2.761225,-0.06232667,0.4086758,-3.008888,-0.1230429,-0.1282252,-0.08107876,0.6277482,0.08162838,,3.082
1716270627107,795.935,Cow_Girl,-2.834701,-1.047509,0.0999454,Idle,,,-2.79423,-0.09335577,0.3832982,-2.811807,-0.08126754,-0.1702551,-0.08257807,0.6273755,0.08103741,,3.165
1716270627190,796.0185,Cow_Girl,-2.75119,-1.048762,0.09994731,Idle,,,-2.830917,-0.1226004,0.3582726,-2.603674,-0.03376305,-0.181029,-0.08408932,0.6267612,0.08042959,,3.248
1716270627274,796.1016,Cow_Girl,-2.668122,-1.050009,0.09994922,Idle,,,-2.833532,-0.1492199,0.3312727,-2.436033,-0.01324761,-0.1776852,-0.08539794,0.6262455,0.0797369,,3.332
1716270627358,796.1854,Cow_Girl,-2.584357,-1.051266,0.09995136,Idle,,,-2.749164,-0.1734772,0.3216377,-2.331703,-0.02039552,-0.1644529,-0.08634396,0.6261212,0.07904679,,3.416
1716270627440,796.2672,Cow_Girl,-2.502569,-1.052493,0.09995351,Idle,,,-2.612088,-0.1779188,0.3467813,-2.298202,-0.03862166,-0.1425466,-0.08754678,0.6263822,0.07864447,,3.498
1716270627524,796.3511,Cow_Girl,-2.418561,-1.053754,0.09995542,Idle,,,-2.465207,-0.1580473,0.4156958,-2.320969,-0.07580841,-0.09757724,-0.08933109,0.6259412,0.07871398,,3.582
1716270627606,796.4365,Cow_Girl,-2.333234,-1.055035,0.09995732,Idle,,,-2.299125,-0.114327,0.4583827,-2.350591,-0.1111706,-0.06538572,-0.09108125,0.6250312,0.0788065,,3.664
1716270627689,796.5179,Cow_Girl,-2.251753,-1.056258,0.09995947,Idle,,,-2.130266,-0.04947746,0.4567588,-2.37158,-0.1214107,-0.05555596,-0.09243493,0.6243067,0.07888824,,3.747
1716270627773,796.6021,Cow_Girl,-2.167606,-1.057521,0.09996162,Idle,,,-1.967369,-0.00526762,0.4522592,-2.369243,-0.1329032,-0.03506174,-0.0931856,0.6243253,0.07876254,,3.831
1716270627857,796.686,Cow_Girl,-2.083757,-1.058779,0.09996376,Idle,,,-1.838927,0.002233267,0.4669071,-2.315403,-0.1439455,-0.008921288,-0.09354167,0.6243474,0.07861355,,3.915
1716270627939,796.7667,Cow_Girl,-2.003025,-1.059991,0.09996591,Idle,,,-1.765782,-0.02046311,0.4693895,-2.20998,-0.147269,-0.02785196,-0.09371094,0.6242613,0.07824195,,3.997
1716270628022,796.8493,Cow_Girl,-1.920375,-1.061231,0.09996853,Idle,,,-1.729955,-0.05738366,0.4270869,-2.050724,-0.1394674,-0.09867372,-0.09371042,0.6242148,0.07789551,,4.08
1716270628105,796.935,Cow_Girl,-1.834703,-1.062517,0.09997139,Idle,,,-1.740185,-0.09644192,0.3882032,-1.863708,-0.122901,-0.161817,-0.09353452,0.6242843,0.07729648,,4.163
