Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715312970454,744.1923,Cow_Girl,-6.000121,-1.0,0.09986793,Idle,,,-6.051723,-0.0853225,0.3391088,-5.956635,-0.08149385,-0.1125081,-0.1600013,0.6778511,0.06021405,,0.0
1715312970538,744.2764,Cow_Girl,-5.916017,-1.001262,0.09987,Idle,,,-5.949853,-0.08181852,0.3513871,-5.86869,-0.07403183,-0.1247112,-0.1589984,0.6780714,0.06046232,,0.084
1715312970621,744.36,Cow_Girl,-5.832482,-1.002516,0.09987206,Idle,,,-5.909229,-0.08488744,0.3523457,-5.713791,-0.03828573,-0.1525918,-0.1586091,0.6781667,0.06051231,,0.167
1715312970705,744.4429,Cow_Girl,-5.749548,-1.003761,0.09987412,Idle,,,-5.908017,-0.1062344,0.3298112,-5.528769,0.01334155,-0.1737179,-0.1585819,0.6779924,0.06058308,,0.251
1715312970788,744.5267,Cow_Girl,-5.66577,-1.005018,0.09987614,Idle,,,-5.823081,-0.1316127,0.3240948,-5.416609,0.02252531,-0.1592074,-0.1584775,0.6779724,0.0605055,,0.334
1715312970871,744.6089,Cow_Girl,-5.583604,-1.006251,0.09987817,Idle,,,-5.678094,-0.126614,0.3643237,-5.401792,0.0009727478,-0.1329093,-0.1583513,0.6777524,0.06044296,,0.417
1715312970955,744.6915,Cow_Girl,-5.501027,-1.007491,0.0998802,Idle,,,-5.531067,-0.1048668,0.426743,-5.43039,-0.03833294,-0.08909374,-0.1580009,0.677556,0.06024054,,0.501
1715312971037,744.7765,Cow_Girl,-5.416026,-1.008767,0.09988222,Idle,,,-5.362283,-0.05291152,0.4606279,-5.457913,-0.0677945,-0.06247129,-0.1574665,0.67765,0.05993672,,0.583
1715312971121,744.8597,Cow_Girl,-5.332774,-1.010016,0.09988425,Idle,,,-5.190796,0.01100385,0.4558793,-5.474959,-0.07683074,-0.05188914,-0.1568195,0.6777111,0.05968062,,0.667
1715312971204,744.943,Cow_Girl,-5.249499,-1.011266,0.09988634,Idle,,,-5.035608,0.04635262,0.4569641,-5.463158,-0.0874536,-0.02619233,-0.1563248,0.6778806,0.05926899,,0.75
1715312971288,745.0259,Cow_Girl,-5.166571,-1.012511,0.09988836,Idle,,,-4.918036,0.04559231,0.4724247,-5.398079,-0.1016684,-0.00581985,-0.1559124,0.6780611,0.05883045,,0.834
1715312971371,745.1089,Cow_Girl,-5.083617,-1.013756,0.09989039,Idle,,,-4.853748,0.02060258,0.4591537,-5.276433,-0.09702182,-0.0460014,-0.1557769,0.6782477,0.0585481,,0.917
1715312971454,745.1914,Cow_Girl,-5.00115,-1.014994,0.09989242,Idle,,,-4.827853,-0.02274907,0.4176755,-5.108093,-0.09301329,-0.1145514,-0.1557111,0.6783656,0.05824969,,1.0
