Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time,time_rounded,HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time
1715744100854,415.8322,Cow_Girl,-6.000123,-1.0,0.09986936,Idle,,,-6.051894,-0.08533365,0.3392462,-5.956741,-0.08143651,-0.1125601,-0.0408069,0.4586947,0.1053948,,0.0,0.0,,,0.0319647626304248,0.0686976858325087,0.0037715865214796,0.1044340349844132,0.4652960611854948,0.3060761047410991,0.6578093611221844,-2.678039765437511,0.0
1715744100936,415.9163,Cow_Girl,-5.916062,-1.001262,0.09987141,Idle,,,-5.949932,-0.08194751,0.3512148,-5.869512,-0.07440734,-0.124481,-0.04310185,0.4581145,0.1044288,,0.082,0.1,,,0.0319647626304248,0.0686976858325087,0.0037715865214796,0.1044340349844132,0.4652960611854948,0.3060761047410991,0.6578093611221844,-2.678039765437511,0.1
1715744101019,415.9994,Cow_Girl,-5.832989,-1.002508,0.09987343,Idle,,,-5.909105,-0.08479881,0.3524671,-5.715227,-0.03859323,-0.1524911,-0.04550236,0.4580707,0.1035763,,0.165,0.2,,,0.0446038036373303,0.0655637693263807,0.003124345885743,0.1132919188494542,0.5369679624918099,0.3937068423794754,0.5787153222596916,-2.724732032458133,0.2
1715744101103,416.0834,Cow_Girl,-5.748926,-1.00377,0.09987549,Idle,,,-5.907013,-0.1060981,0.3300104,-5.528688,0.01305079,-0.1736744,-0.04739277,0.4574676,0.1029062,,0.249,0.2,,,0.0446038036373303,0.0655637693263807,0.003124345885743,0.1132919188494542,0.5369679624918099,0.3937068423794754,0.5787153222596916,-2.724732032458133,0.2
1715744101186,416.1666,Cow_Girl,-5.665828,-1.005017,0.09987748,Idle,,,-5.823827,-0.1314676,0.323925,-5.416144,0.02274907,-0.1593609,-0.04941083,0.4576294,0.1027615,,0.332,0.3,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.5727464368645125,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.3
1715744101269,416.2483,Cow_Girl,-5.584116,-1.006244,0.09987945,Idle,,,-5.679568,-0.1269611,0.3631287,-5.400835,0.001383901,-0.1335997,-0.05089265,0.4571838,0.1029558,,0.415,0.4,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.5942135214881341,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.4
1715744101352,416.3313,Cow_Girl,-5.501147,-1.007489,0.09988148,Idle,,,-5.53167,-0.105091,0.4264736,-5.429856,-0.03809261,-0.08923932,-0.05201316,0.4569647,0.1031089,,0.498,0.5,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.6085249112372152,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.5
1715744101435,416.4158,Cow_Girl,-5.416629,-1.008758,0.09988359,Idle,,,-5.364551,-0.05434829,0.4603213,-5.456318,-0.06758147,-0.06273153,-0.05295417,0.457034,0.1030243,,0.581,0.6,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.6187473324865589,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.6
1715744101519,416.4995,Cow_Girl,-5.332865,-1.010015,0.09988556,Idle,,,-5.19218,0.01032722,0.4559812,-5.473828,-0.07658154,-0.05220117,-0.05395475,0.4573303,0.1030089,,0.665,0.7,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.6264141484235666,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.7
1715744101602,416.5828,Cow_Girl,-5.249647,-1.011264,0.09988759,Idle,,,-5.036104,0.04621351,0.4568474,-5.463001,-0.08743715,-0.02642604,-0.05523455,0.4579705,0.1032971,,0.748,0.7,,,0.0427773506928986,0.0629002965819318,0.0037164496477507,0.1093940969225811,0.6264141484235666,0.3910389307676485,0.5749880327312973,-2.7662044001528074,0.7
