Date,time_from_start,Character_type,Character_position.x,Character_position.y,Character_position.z,User_Action,Form_Question,Form_Answer,Left_hand_position_x,Left_hand_position_y,Left_hand_position_z,Right_hand_position_x,Right_hand_position_y,Right_hand_position_z,Headset_eyetracking_rotation_x,Headset_eyetracking_rotation_y,Headset_eyetracking_rotation_z,Character_status,norm_time
1715665231741,1962.865,Robot Kyle,-6.000125,-1.0,0.0998684,Idle,,,-6.040681,-0.1006255,0.3823758,-5.934076,-0.09607387,-0.1504425,-0.2018666,0.5378269,0.1039573,,0.0
1715665231825,1962.948,Robot Kyle,-5.916657,-1.001253,0.09987047,Idle,,,-5.933095,-0.09685183,0.3933444,-5.842252,-0.08761036,-0.1601466,-0.2026601,0.5380712,0.1036079,,0.084
1715665231908,1963.031,Robot Kyle,-5.833562,-1.0025,0.09987251,Idle,,,-5.89056,-0.1012203,0.3901515,-5.673385,-0.04782033,-0.1863456,-0.2035243,0.5379452,0.1036044,,0.167
1715665231991,1963.115,Robot Kyle,-5.749834,-1.003756,0.09987456,Idle,,,-5.892675,-0.1264648,0.3625045,-5.473247,0.01143956,-0.2095985,-0.2043715,0.5377144,0.103913,,0.25
1715665232074,1963.198,Robot Kyle,-5.667127,-1.004998,0.09987659,Idle,,,-5.8027,-0.1527947,0.3540658,-5.356785,0.02288187,-0.1933196,-0.2052624,0.5375873,0.1042003,,0.333
1715665232158,1963.281,Robot Kyle,-5.583394,-1.006254,0.09987862,Idle,,,-5.653035,-0.1435543,0.3950767,-5.339574,-9.298325e-06,-0.1655475,-0.206191,0.5375702,0.1043005,,0.417
1715665232241,1963.365,Robot Kyle,-5.499931,-1.007507,0.09988067,Idle,,,-5.504135,-0.1186137,0.4635969,-5.380247,-0.04583293,-0.1224508,-0.2070772,0.5373472,0.104432,,0.5
1715665232324,1963.447,Robot Kyle,-5.417398,-1.008746,0.09988276,Idle,,,-5.325076,-0.06413853,0.4950061,-5.431356,-0.07805097,-0.09857183,-0.2075781,0.5372189,0.1045345,,0.583
1715665232408,1963.531,Robot Kyle,-5.334166,-1.009995,0.09988485,Idle,,,-5.137987,0.01110709,0.4847487,-5.466078,-0.08795381,-0.08176913,-0.2079458,0.5372548,0.1046797,,0.667
1715665232490,1963.615,Robot Kyle,-5.249796,-1.011261,0.09988693,Idle,,,-4.973397,0.05752647,0.4852001,-5.460361,-0.1005042,-0.05018463,-0.208176,0.5370763,0.1046078,,0.749
1715665232575,1963.699,Robot Kyle,-5.165887,-1.012521,0.09988896,Idle,,,-4.856327,0.05638015,0.5020157,-5.393223,-0.1158476,-0.0284154,-0.2084143,0.5369062,0.1046818,,0.834
1715665232657,1963.781,Robot Kyle,-5.083463,-1.013758,0.09989104,Idle,,,-4.798222,0.02198398,0.4888434,-5.269193,-0.1092469,-0.07171889,-0.2084605,0.5367669,0.1047075,,0.916
