time,ecg,hr,rr,marker,norm_time
1716277991103115246,0.067,91.0,,,0.0
1716277991110809614,0.038,,,,0.007694368
1716277991118503982,0.014,,,,0.015388736
1716277991126198350,0.002,,,,0.023083104
1716277991133892718,0.004,,,,0.030777472
1716277991141587086,0.002,,,,0.03847184
1716277991149281454,-0.002,,,,0.046166208
1716277991156975822,0.002,,,,0.053860576
1716277991164670190,0.0,,,,0.061554944
1716277991172364558,-0.009,,,,0.069249312
1716277991180058926,-0.012,,,,0.07694368
1716277991187753294,-0.007,,,,0.084638048
1716277991195447662,-0.004,,,,0.092332416
1716277991203142030,-0.004,,,,0.100026784
1716277991210836398,-0.009,,,,0.107721152
1716277991218530766,-0.014,,,,0.11541552
1716277991226225134,-0.016,,,,0.123109888
1716277991233919502,-0.016,,,,0.130804256
1716277991241613870,-0.016,,,,0.138498624
1716277991249308238,-0.009,,,,0.146192992
1716277991257002606,-0.007,,,,0.15388736
1716277991264696974,-0.016,,,,0.161581728
1716277991272391342,-0.012,,,,0.169276096
1716277991280085710,-0.002,,,,0.176970464
1716277991287780078,0.002,,,,0.184664832
1716277991295474446,-0.002,,,,0.1923592
1716277991303168814,0.0,,,,0.200053568
1716277991310863182,0.009,,,,0.207747936
1716277991318557550,0.016,,,,0.215442304
1716277991326251918,0.014,,,,0.223136672
1716277991333946286,0.012,,,,0.23083104
1716277991341640654,0.009,,,,0.238525408
1716277991349335022,0.007,,,,0.246219776
1716277991357029390,0.0,,,,0.253914144
1716277991364723758,0.002,,,,0.261608512
1716277991372418126,0.031,,,,0.26930288
1716277991380112494,0.06,,,,0.276997248
1716277991387806862,0.076,,,,0.284691616
1716277991395501230,0.072,,,,0.292385984
1716277991403195598,0.052,,,,0.300080352
1716277991410889966,0.045,,,,0.30777472
1716277991418584334,0.045,,,,0.315469088
1716277991426278702,0.048,,,,0.323163456
1716277991433973070,0.057,,,,0.330857824
1716277991441667438,0.064,,,,0.338552192
1716277991449361806,0.064,,,,0.34624656
1716277991457056174,0.043,,,,0.353940928
1716277991464750542,0.0,,,,0.361635296
1716277991472444910,0.096,,,,0.369329664
1716277991480139278,0.548,,,,0.377024032
1716277991487833646,1.115,,,,0.3847184
1716277991495528014,1.034,,,,0.392412768
1716277991503222382,0.137,,,,0.400107136
1716277991510916750,-0.627,,,,0.407801504
1716277991518611118,-0.591,,,,0.415495872
1716277991526305486,-0.235,,,,0.42319024
1716277991533999854,-0.04,,,,0.430884608
1716277991541694222,0.069,,,,0.438578976
1716277991549388590,0.146,,,,0.446273344
1716277991557082958,0.149,,,,0.453967712
1716277991564777326,0.156,,,,0.46166208
1716277991572471694,0.185,,,,0.469356448
1716277991580166062,0.187,,,,0.477050816
1716277991587860430,0.18,,,,0.484745184
1716277991595554798,0.197,,,,0.492439552
1716277991603249166,0.214,,,,0.50013392
1716277991610943534,0.223,,,,0.507828288
1716277991618637902,0.242,,,,0.515522656
1716277991626332270,0.259,,,,0.523217024
1716277991634026638,0.274,,,,0.530911392
1716277991641721006,0.293,,,,0.53860576
1716277991649415374,0.312,,,,0.546300128
1716277991657109742,0.322,,,,0.553994496
1716277991664804124,0.322,,,,0.561688878
1716277991672498910,0.324,,,,0.569383664
1716277991680193696,0.312,,,,0.57707845
1716277991687888482,0.286,,665.0,,0.584773236
1716277991695583268,0.269,,,,0.592468022
1716277991703278054,0.264,,,,0.600162808
1716277991710972840,0.254,,,,0.607857594
1716277991718667626,0.242,,,,0.61555238
1716277991726362412,0.233,,,,0.623247166
1716277991734057198,0.218,,,,0.630941952
1716277991741751984,0.192,,,,0.638636738
1716277991749446770,0.153,,,,0.646331524
1716277991757141556,0.115,,,,0.65402631
1716277991764836342,0.084,,,,0.661721096
1716277991772531128,0.05,,,,0.669415882
1716277991780225914,0.019,,,,0.677110668
1716277991787920700,0.012,,,,0.684805454
1716277991795615486,0.016,,,,0.69250024
1716277991803310272,0.016,,,,0.700195026
1716277991811005058,0.014,,,,0.707889812
1716277991818699844,0.016,,,,0.715584598
1716277991826394630,0.024,,,,0.723279384
1716277991834089416,0.028,,,,0.73097417
1716277991841784202,0.024,,,,0.738668956
1716277991849478988,0.021,,,,0.746363742
1716277991857173774,0.021,,,,0.754058528
1716277991864868560,0.019,,,,0.761753314
1716277991872563346,0.012,,,,0.7694481
1716277991880258132,0.012,,,,0.777142886
1716277991887952918,0.016,,,,0.784837672
1716277991895647704,0.014,,,,0.792532458
1716277991903342490,0.007,,,,0.800227244
1716277991911037276,0.0,,,,0.80792203
1716277991918732062,-0.002,,,,0.815616816
1716277991926426848,0.0,,,,0.823311602
1716277991934121634,0.007,,,,0.831006388
1716277991941816420,0.014,,,,0.838701174
1716277991949511206,0.014,,,,0.84639596
1716277991957205992,0.009,,,,0.854090746
1716277991964900778,0.014,,,,0.861785532
1716277991972595564,0.021,,,,0.869480318
1716277991980290350,0.021,,,,0.877175104
1716277991987985136,0.024,,,,0.88486989
1716277991995679922,0.031,,,,0.892564676
1716277992003374708,0.028,,,,0.900259462
1716277992011069494,0.021,,,,0.907954248
1716277992018764280,0.019,,,,0.915649034
1716277992026459066,0.014,,,,0.92334382
1716277992034153852,0.019,,,,0.931038606
1716277992041848638,0.04,,,,0.938733392
1716277992049543424,0.072,,,,0.946428178
1716277992057238210,0.096,,,,0.954122964
1716277992064932996,0.093,,,,0.96181775
1716277992072627782,0.076,,,,0.969512536
1716277992080322568,0.067,,,,0.977207322
1716277992088017354,0.06,,,,0.984902108
1716277992095712140,0.057,,,,0.992596894
1716277992103406926,0.062,,,,1.00029168
1716277992111101712,0.069,,,,1.007986466
1716277992118796498,0.072,,,,1.015681252
1716277992126491284,0.048,,,,1.023376038
