time,ecg,hr,rr,marker,norm_time
1715152364598369264,0.122,87.0,675.0,,0.0
1715152364606064886,0.158,,668.0,,0.007695622
1715152364613760508,0.165,,,,0.015391244
1715152364621456130,0.182,,,,0.023086866
1715152364629151752,0.197,,,,0.030782488
1715152364636847374,0.206,,,,0.03847811
1715152364644542996,0.226,,,,0.046173732
1715152364652238618,0.25,,,,0.053869354
1715152364659934240,0.259,,,,0.061564976
1715152364667629862,0.259,,,,0.069260598
1715152364675325484,0.274,,,,0.07695622
1715152364683021106,0.298,,,,0.084651842
1715152364690716728,0.307,,,,0.092347464
1715152364698412350,0.317,,,,0.100043086
1715152364706107972,0.334,,,,0.107738708
1715152364713803594,0.334,,,,0.11543433
1715152364721499216,0.319,,,,0.123129952
1715152364729194838,0.298,,,,0.130825574
1715152364736890460,0.276,,,,0.138521196
1715152364744586082,0.25,,,,0.146216818
1715152364752281704,0.223,,,,0.15391244
1715152364759977326,0.185,,,,0.161608062
1715152364767672948,0.127,,,,0.169303684
1715152364775368570,0.072,,,,0.176999306
1715152364783064192,0.04,,,,0.184694928
1715152364790759814,0.016,,,,0.19239055
1715152364798455436,-0.009,,,,0.200086172
1715152364806151058,-0.024,,,,0.207781794
1715152364813846680,-0.036,,,,0.215477416
1715152364821542302,-0.045,,,,0.223173038
1715152364829237924,-0.04,,,,0.23086866
1715152364836933546,-0.024,,,,0.238564282
1715152364844629168,-0.016,,,,0.246259904
1715152364852324790,-0.009,,,,0.253955526
1715152364860020412,0.002,,,,0.261651148
1715152364867716034,0.004,,,,0.26934677
1715152364875411656,0.009,,,,0.277042392
1715152364883107278,0.024,,,,0.284738014
1715152364890802900,0.033,,,,0.292433636
1715152364898498522,0.033,,,,0.300129258
1715152364906194144,0.028,,,,0.30782488
1715152364913889766,0.026,,,,0.315520502
1715152364921585388,0.028,,,,0.323216124
1715152364929281010,0.026,,,,0.330911746
1715152364936976632,0.021,,,,0.338607368
1715152364944672254,0.019,,,,0.34630299
1715152364952367876,0.019,,,,0.353998612
1715152364960063498,0.016,,,,0.361694234
1715152364967759120,0.012,,,,0.369389856
1715152364975454742,0.014,,,,0.377085478
1715152364983150364,0.024,,,,0.3847811
1715152364990845986,0.019,,,,0.392476722
1715152364998541608,0.0,,,,0.400172344
1715152365006237230,-0.019,,,,0.407867966
1715152365013932852,-0.019,,,,0.415563588
1715152365021628474,-0.007,,,,0.42325921
1715152365029324096,0.012,,,,0.430954832
1715152365037019718,0.05,,,,0.438650454
1715152365044715340,0.079,,,,0.446346076
1715152365052410962,0.079,,,,0.454041698
1715152365060106584,0.076,,,,0.46173732
1715152365067802206,0.067,,,,0.469432942
1715152365075497828,0.036,,,,0.477128564
1715152365083193450,0.019,,,,0.484824186
1715152365090889072,0.031,,,,0.492519808
1715152365098584694,0.038,,,,0.50021543
1715152365106280316,0.045,,,,0.507911052
1715152365113975938,0.055,,,,0.515606674
1715152365121671560,0.06,,,,0.523302296
1715152365129367182,0.057,,,,0.530997918
1715152365137062804,0.048,,,,0.53869354
1715152365144758426,0.098,,,,0.546389162
1715152365152454048,0.437,,,,0.554084784
1715152365160149694,1.123,,,,0.56178043
1715152365167845734,1.399,,,,0.56947647
1715152365175541774,0.476,,,,0.57717251
1715152365183237814,-0.637,,,,0.58486855
1715152365190933854,-0.562,,,,0.59256459
1715152365198629894,-0.062,,,,0.60026063
1715152365206325934,-0.04,,,,0.60795667
1715152365214021974,-0.062,,,,0.61565271
1715152365221718014,0.067,,,,0.62334875
1715152365229414054,0.101,,,,0.63104479
1715152365237110094,0.088,,,,0.63874083
1715152365244806134,0.125,,,,0.64643687
1715152365252502174,0.146,,,,0.65413291
1715152365260198214,0.144,,,,0.66182895
1715152365267894254,0.158,,,,0.66952499
1715152365275590294,0.168,,,,0.67722103
1715152365283286334,0.177,,,,0.68491707
1715152365290982374,0.194,,,,0.69261311
