time,ecg,hr,rr,marker,norm_time
1715828478843012872,0.009,,,,0.0
1715828478850707588,0.007,,,,0.007694716
1715828478858402304,0.007,,,,0.015389432
1715828478866097020,0.004,,,,0.023084148
1715828478873791736,0.009,,,,0.030778864
1715828478881486452,0.009,,,,0.03847358
1715828478889181168,0.004,,,,0.046168296
1715828478896875884,0.0,,,,0.053863012
1715828478904570600,0.0,,,,0.061557728
1715828478912265316,0.004,,,,0.069252444
1715828478919960032,0.004,,,,0.07694716
1715828478927654748,0.007,,,,0.084641876
1715828478935349464,0.009,,,,0.092336592
1715828478943044180,0.014,,,,0.100031308
1715828478950738896,0.016,,,,0.107726024
1715828478958433612,0.014,,,,0.11542074
1715828478966128328,0.012,,,,0.123115456
1715828478973823044,0.014,,,,0.130810172
1715828478981517760,0.021,,,,0.138504888
1715828478989212476,0.019,,,,0.146199604
1715828478996907192,0.007,,,,0.15389432
1715828479004601908,0.007,,,,0.161589036
1715828479012296624,0.024,,,,0.169283752
1715828479019991340,0.038,,,,0.176978468
1715828479027686056,0.029,,,,0.184673184
1715828479035380772,0.029,,,,0.1923679
1715828479043075488,0.045,,,,0.200062616
1715828479050770204,0.045,,,,0.207757332
1715828479058464920,0.026,,,,0.215452048
1715828479066159636,0.007,,,,0.223146764
1715828479073854352,0.004,,,,0.23084148
1715828479081549068,0.014,,,,0.238536196
1715828479089243784,0.024,,,,0.246230912
1715828479096938500,0.033,,,,0.253925628
1715828479104633216,0.033,,,,0.261620344
1715828479112327932,0.014,,,,0.26931506
1715828479120022648,0.041,,,,0.277009776
1715828479127717364,0.292,,,,0.284704492
1715828479135412080,0.92,,,,0.292399208
1715828479143106796,1.778,,,,0.300093924
1715828479150801512,2.426,,,,0.30778864
1715828479158496228,2.09,,,,0.315483356
1715828479166190944,0.471,,,,0.323178072
1715828479173885660,-0.63,,,,0.330872788
1715828479181580376,-0.193,,,,0.338567504
1715828479189275092,0.041,,,,0.34626222
1715828479196969808,-0.348,,,,0.353956936
1715828479204664524,-0.321,,,,0.361651652
1715828479212359240,-0.142,,,,0.369346368
1715828479220053956,-0.215,,,,0.377041084
1715828479227748672,-0.227,,,,0.3847358
1715828479235443388,-0.137,,,,0.392430516
1715828479243138104,-0.123,,,,0.400125232
1715828479250832820,-0.128,,,,0.407819948
1715828479258527536,-0.087,,,,0.415514664
1715828479266222252,-0.041,,,,0.42320938
1715828479273916968,-0.016,,,,0.430904096
1715828479281611684,-0.004,,,,0.438598812
1715828479289306400,0.016,,,,0.446293528
1715828479297001116,0.041,,,,0.453988244
1715828479304695832,0.055,,,,0.46168296
1715828479312390548,0.074,,,,0.469377676
1715828479320085264,0.108,,,,0.477072392
