time,ecg,hr,rr,marker,norm_time
1716276687583598832,0.096,95.0,619.0,,0.0
1716276687591294036,0.108,,,,0.007695204
1716276687598989240,0.127,,,,0.015390408
1716276687606684444,0.144,,,,0.023085612
1716276687614379648,0.161,,,,0.030780816
1716276687622074852,0.18,,,,0.03847602
1716276687629770056,0.202,,,,0.046171224
1716276687637465260,0.223,,,,0.053866428
1716276687645160464,0.24,,,,0.061561632
1716276687652855668,0.242,,,,0.069256836
1716276687660550872,0.24,,,,0.07695204
1716276687668246076,0.235,,,,0.084647244
1716276687675941280,0.216,,,,0.092342448
1716276687683636484,0.189,,,,0.100037652
1716276687691331688,0.173,,,,0.107732856
1716276687699026892,0.161,,,,0.11542806
1716276687706722096,0.144,,,,0.123123264
1716276687714417300,0.125,,,,0.130818468
1716276687722112504,0.11,,,,0.138513672
1716276687729807708,0.093,,,,0.146208876
1716276687737502912,0.069,,,,0.15390408
1716276687745198116,0.045,,,,0.161599284
1716276687752893320,0.024,,,,0.169294488
1716276687760588524,0.009,,,,0.176989692
1716276687768283728,0.009,,,,0.184684896
1716276687775978932,0.019,,,,0.1923801
1716276687783674136,0.028,,,,0.200075304
1716276687791369340,0.031,,,,0.207770508
1716276687799064544,0.036,,,,0.215465712
1716276687806759748,0.043,,,,0.223160916
1716276687814454952,0.045,,,,0.23085612
1716276687822150156,0.048,,,,0.238551324
1716276687829845360,0.052,,,,0.246246528
1716276687837540564,0.052,,,,0.253941732
1716276687845235768,0.052,,,,0.261636936
1716276687852930972,0.05,,,,0.26933214
1716276687860626176,0.048,,,,0.277027344
1716276687868321380,0.045,,,,0.284722548
1716276687876016584,0.048,,,,0.292417752
1716276687883711788,0.048,,,,0.300112956
1716276687891406992,0.04,,,,0.30780816
1716276687899102196,0.038,,,,0.315503364
1716276687906797400,0.036,,,,0.323198568
1716276687914492604,0.033,,,,0.330893772
1716276687922187808,0.033,,,,0.338588976
1716276687929883012,0.031,,,,0.34628418
1716276687937578216,0.026,,,,0.353979384
1716276687945273420,0.021,,,,0.361674588
1716276687952968624,0.024,,,,0.369369792
1716276687960663828,0.031,,,,0.377064996
1716276687968359032,0.036,,,,0.3847602
1716276687976054236,0.045,,,,0.392455404
1716276687983749440,0.062,,,,0.400150608
1716276687991444644,0.076,,,,0.407845812
1716276687999139848,0.076,,,,0.415541016
1716276688006835052,0.057,,,,0.42323622
1716276688014530256,0.038,,,,0.430931424
1716276688022225460,0.04,,,,0.438626628
1716276688029920664,0.055,,,,0.446321832
1716276688037615868,0.06,,,,0.454017036
1716276688045311072,0.057,,,,0.46171224
1716276688053006276,0.057,,,,0.469407444
1716276688060701480,0.067,,,,0.477102648
1716276688068396684,0.122,,,,0.484797852
1716276688076091888,0.343,,,,0.492493056
1716276688083787092,0.728,,,,0.50018826
1716276688091482296,0.983,,,,0.507883464
1716276688099177500,0.781,,,,0.515578668
1716276688106872704,0.129,,,,0.523273872
1716276688114567908,-0.447,,,,0.530969076
1716276688122263112,-0.435,,,,0.53866428
1716276688129958316,-0.122,,,,0.546359484
1716276688137653520,-0.012,,,,0.554054688
1716276688145348744,-0.028,,,,0.561749912
1716276688153043530,0.009,,,,0.569444698
1716276688160738316,0.04,,,,0.577139484
1716276688168433102,0.038,,,,0.58483427
1716276688176127888,0.052,,,,0.592529056
1716276688183822674,0.069,,,,0.600223842
1716276688191517460,0.074,,,,0.607918628
1716276688199212246,0.086,,,,0.615613414
1716276688206907032,0.101,,,,0.6233082
1716276688214601818,0.105,,,,0.631002986
1716276688222296604,0.12,,,,0.638697772
1716276688229991390,0.149,,,,0.646392558
1716276688237686176,0.173,,,,0.654087344
1716276688245380962,0.187,,,,0.66178213
1716276688253075748,0.202,,,,0.669476916
1716276688260770534,0.218,,,,0.677171702
1716276688268465320,0.24,,,,0.684866488
1716276688276160106,0.247,,,,0.692561274
1716276688283854892,0.245,,,,0.70025606
1716276688291549678,0.242,,,,0.707950846
1716276688299244464,0.23,,,,0.715645632
1716276688306939250,0.206,,,,0.723340418
1716276688314634036,0.187,,,,0.731035204
1716276688322328822,0.182,,,,0.73872999
1716276688330023608,0.17,,,,0.746424776
1716276688337718394,0.141,,,,0.754119562
1716276688345413180,0.113,,,,0.761814348
1716276688353107966,0.091,,,,0.769509134
1716276688360802752,0.074,,,,0.77720392
1716276688368497538,0.045,,,,0.784898706
1716276688376192324,0.026,,,,0.792593492
1716276688383887110,0.026,,,,0.800288278
1716276688391581896,0.028,,,,0.807983064
1716276688399276682,0.031,,,,0.81567785
1716276688406971468,0.043,,,,0.823372636
1716276688414666254,0.052,,,,0.831067422
1716276688422361040,0.057,,,,0.838762208
1716276688430055826,0.055,,,,0.846456994
1716276688437750612,0.057,,,,0.85415178
1716276688445445398,0.062,,,,0.861846566
1716276688453140184,0.06,,,,0.869541352
1716276688460834970,0.055,,,,0.877236138
1716276688468529756,0.057,,,,0.884930924
1716276688476224542,0.057,,,,0.89262571
1716276688483919328,0.05,,,,0.900320496
1716276688491614114,0.05,,,,0.908015282
1716276688499308900,0.055,,,,0.915710068
1716276688507003686,0.05,,,,0.923404854
1716276688514698472,0.045,,,,0.93109964
1716276688522393258,0.048,,,,0.938794426
1716276688530088044,0.04,,,,0.946489212
1716276688537782830,0.038,,,,0.954183998
1716276688545477616,0.036,,,,0.961878784
1716276688553172402,0.033,,,,0.96957357
1716276688560867188,0.033,,,,0.977268356
1716276688568561974,0.033,,,,0.984963142
1716276688576256760,0.031,,,,0.992657928
1716276688583951546,0.036,,,,1.000352714
1716276688591646332,0.04,,,,1.0080475
1716276688599341118,0.06,,,,1.015742286
1716276688607035904,0.084,,,,1.023437072
1716276688614730690,0.088,,,,1.031131858
1716276688622425476,0.072,,,,1.038826644
1716276688630120262,0.055,,,,1.04652143
1716276688637815048,0.045,,,,1.054216216
1716276688645509834,0.05,,,,1.061911002
1716276688653204620,0.06,,,,1.069605788
1716276688660899406,0.062,,,,1.077300574
1716276688668594192,0.062,,,,1.08499536
1716276688676288978,0.067,,,,1.092690146
1716276688683983764,0.113,,,,1.100384932
1716276688691678550,0.305,,,,1.108079718
1716276688699373336,0.682,,,,1.115774504
1716276688707068138,0.981,95.0,617.0,,1.123469306
1716276688714762924,0.853,,622.0,,1.131164092
1716276688722457710,0.259,,,,1.138858878
1716276688730152496,-0.382,,,,1.146553664
1716276688737847282,-0.483,,,,1.15424845
