time,ecg,hr,rr,marker,norm_time
1715668089436078940,0.048,,,,0.0
1715668089443773726,0.045,,,,0.007694786
1715668089451468512,0.057,,,,0.015389572
1715668089459163298,0.052,,,,0.023084358
1715668089466858084,0.028,,,,0.030779144
1715668089474552870,0.028,,,,0.03847393
1715668089482247656,0.067,,,,0.046168716
1715668089489942442,0.096,,,,0.053863502
1715668089497637228,0.084,,,,0.061558288
1715668089505332014,0.067,,,,0.069253074
1715668089513026800,0.055,,,,0.07694786
1715668089520721586,0.036,,,,0.084642646
1715668089528416372,0.024,,,,0.092337432
1715668089536111158,0.033,,,,0.100032218
1715668089543805944,0.045,,,,0.107727004
1715668089551500730,0.045,,,,0.11542179
1715668089559195516,0.045,,,,0.123116576
1715668089566890302,0.052,,,,0.130811362
1715668089574585088,0.064,,,,0.138506148
1715668089582279874,0.06,,,,0.146200934
1715668089589974660,0.055,,,,0.15389572
1715668089597669446,0.072,,,,0.161590506
1715668089605364232,0.086,,,,0.169285292
1715668089613059018,0.105,,,,0.176980078
1715668089620753804,0.329,,,,0.184674864
1715668089628448590,1.046,,,,0.19236965
1715668089636143376,1.943,,,,0.200064436
1715668089643838162,1.724,,,,0.207759222
1715668089651532948,0.024,,,,0.215454008
1715668089659227734,-0.863,,,,0.223148794
1715668089666922520,-0.019,,,,0.23084358
1715668089674617306,0.271,,,,0.238538366
1715668089682312092,-0.223,,,,0.246233152
1715668089690006878,-0.115,,,,0.253927938
1715668089697701664,0.098,,,,0.261622724
1715668089705396450,-0.04,,,,0.26931751
1715668089713091236,-0.048,,,,0.277012296
1715668089720786022,0.064,,,,0.284707082
1715668089728480808,0.045,,,,0.292401868
1715668089736175594,0.019,,,,0.300096654
1715668089743870380,0.067,,,,0.30779144
1715668089751565166,0.079,,,,0.315486226
1715668089759259952,0.067,,,,0.323181012
1715668089766954738,0.079,,,,0.330875798
1715668089774649524,0.105,,,,0.338570584
1715668089782344310,0.127,,,,0.34626537
1715668089790039096,0.137,,,,0.353960156
1715668089797733882,0.151,,,,0.361654942
1715668089805428668,0.177,,,,0.369349728
1715668089813123454,0.209,,,,0.377044514
1715668089820818240,0.235,,,,0.3847393
1715668089828513026,0.269,,,,0.392434086
1715668089836207812,0.312,,,,0.400128872
1715668089843902598,0.355,,,,0.407823658
1715668089851597384,0.391,,,,0.415518444
1715668089859292170,0.423,,,,0.42321323
1715668089866986956,0.442,,,,0.430908016
1715668089874681742,0.437,,,,0.438602802
1715668089882376528,0.399,,,,0.446297588
1715668089890071314,0.334,,,,0.453992374
1715668089897766100,0.269,,,,0.46168716
1715668089905460886,0.189,,,,0.469381946
1715668089913155672,0.091,,,,0.477076732
1715668089920850458,0.009,,,,0.484771518
1715668089928545244,-0.038,,,,0.492466304
1715668089936240030,-0.079,,,,0.50016109
1715668089943934816,-0.113,,,,0.507855876
1715668089951629602,-0.115,,,,0.515550662
1715668089959324388,-0.103,,,,0.523245448
1715668089967019174,-0.096,,,,0.530940234
1715668089974713960,-0.091,,,,0.53863502
1715668089982408746,-0.086,,,,0.546329806
1715668089990103532,-0.079,,,,0.554024592
1715668089997798334,-0.062,75.0,836.0,,0.561719394
1715668090005493120,-0.048,,841.0,,0.56941418
1715668090013187906,-0.038,,,,0.577108966
1715668090020882692,-0.028,,,,0.584803752
1715668090028577478,-0.026,,,,0.592498538
1715668090036272264,-0.026,,,,0.600193324
1715668090043967050,-0.014,,,,0.60788811
1715668090051661836,-0.002,,,,0.615582896
1715668090059356622,0.004,,,,0.623277682
1715668090067051408,0.014,,,,0.630972468
1715668090074746194,0.021,,,,0.638667254
1715668090082440980,0.028,,,,0.64636204
1715668090090135766,0.036,,,,0.654056826
1715668090097830552,0.04,,,,0.661751612
1715668090105525338,0.038,,,,0.669446398
1715668090113220124,0.04,,,,0.677141184
1715668090120914910,0.043,,,,0.68483597
1715668090128609696,0.043,,,,0.692530756
1715668090136304482,0.043,,,,0.700225542
1715668090143999268,0.048,,,,0.707920328
1715668090151694054,0.05,,,,0.715615114
1715668090159388840,0.045,,,,0.7233099
1715668090167083626,0.043,,,,0.731004686
